base_type,type_,text,price
handphone-tablet,aksesoris-handphone,Ugreen Data Cable Charger Fast Charging 3A Micro USB to USB 3m,Rp59.900
handphone-tablet,aksesoris-handphone,Power Adapter iphone USB-C 20w Fast charging adaptor batok charger,Rp115.000
handphone-tablet,aksesoris-handphone,Charger Samsung Super Fast Charging Original Adaptor Type C To 25W 45W,Rp125.000
handphone-tablet,aksesoris-handphone,TONGSIS BLUETOOTH WITH TRIPOD AND ROTATION HOLDER 170 CM,Rp154.875
handphone-tablet,aksesoris-handphone,GUB P30 Original Holder Hp Dudukan Ponsel Aluminium Aloy,Rp108.000
handphone-tablet,aksesoris-handphone,USAMS U26 KABEL DATA TYPE C FAST CHARGING & LED INDIKATOR,Rp26.500
handphone-tablet,aksesoris-handphone,MIXIO BM-W07 Liftable Foldable Phone Holder Stand HP di Meja Folding,Rp24.800
handphone-tablet,aksesoris-handphone,USAMS Car Mount Center Console Retracble Phone Holder Dashboard Mobil,Rp99.000
handphone-tablet,aksesoris-handphone,Kabel OTG Micro USB - OTG Micro V8,Rp1.600
handphone-tablet,aksesoris-handphone,CAR CHARGER BASEUS 30W TYPE-C PD3.0+USB QUICK CHARGE 4.0,Rp83.000
handphone-tablet,aksesoris-handphone,Robot RBM100 Micro USB Data Cable Fast Charging,Rp8.000
handphone-tablet,aksesoris-handphone,F3 Pembesar Layar Handphone - Enlarged Screen F3,Rp10.250
handphone-tablet,aksesoris-handphone,USAMS U68 Kabel Data iPhone Lightning 2A 1M,Rp19.500
handphone-tablet,aksesoris-handphone,Tempered matte glass IPHONE 11 11PRO x XS MAX pro anti minyak,Rp19.990
handphone-tablet,aksesoris-handphone,USAMS ZJ063 Car Holder Center Console Retractable Phone Holder Mobil,Rp99.000
handphone-tablet,aksesoris-handphone,"UGREEN Kabel Data Iphone Lightning 5,6,7,8 Gaming FAST Charge 10W/2.4A",Rp64.500
handphone-tablet,aksesoris-handphone,metal Case iphone 11 11PRO 11PROMAX PRO MAX Matte Casing SOFTCASE soft,Rp89.900
handphone-tablet,aksesoris-handphone,Tempered Glass iPhone 14/13 Mini Pro Max Plus Spigen Glas tR Slim 9H,Rp135.002
handphone-tablet,aksesoris-handphone,Robot RT-K7 Quick Charge 5V/1A Fireproof Charger With Micro USB Cable,Rp25.500
handphone-tablet,aksesoris-handphone,COPPER PD + QC Charger 45W Super Fast Charging | CP1014,Rp146.900
handphone-tablet,aksesoris-handphone,Charger iPhone 20W USB-C Power Adapter for iPhone Original,Rp449.000
handphone-tablet,aksesoris-handphone,Soft Case Silicone Transparan Iphone 13 13PRO 13PROMAX PRO MAX casing,Rp75.000
handphone-tablet,aksesoris-handphone,Baseus Mini Adapter OTG Converter USB Type C To Female USB A Flashdisk,Rp27.250
handphone-tablet,aksesoris-handphone,Kabel Data iPhone USB Lightning 20CM 1M 2M 3M FAST Charging MCDODO,Rp33.500
handphone-tablet,aksesoris-handphone,HighQuality Tempered Glass Anti Gores Bening iPhone X XR XS 11 Pro Max,Rp39.000
handphone-tablet,aksesoris-handphone,metal Case iphone 14 14PLUS 14PRO PLUS PRO MAX Matte Casing SOFTCASE,Rp89.900
handphone-tablet,aksesoris-handphone,Wall Charger Kepala Adaptor iPhone 20W/10W UGREEN USB Type C PD 4.0 QC,Rp75.000
handphone-tablet,aksesoris-handphone,Qualcomm Car Charger Mobil 3.0 Fast Charging 7A 35W Type C 3 Port,Rp34.000
handphone-tablet,aksesoris-handphone,Baseus Charger Adaptor Type-C iPhone 12 13 20W Super Si Quick Charge,Rp115.000
handphone-tablet,aksesoris-handphone,SNAPGARD Premium Acrylic Matte Case iPhone 14 Plus iPhone 14 Pro Max,Rp123.670
handphone-tablet,aksesoris-handphone,Iphone 11 - COPPER Tempered Glass Full Glue PREMIUM Glossy,Rp69.900
handphone-tablet,aksesoris-handphone,ROBOT Car Holder Dashboard Mobil RT-CH16 Dudukan HP Mount Phone Holder,Rp53.900
handphone-tablet,aksesoris-handphone,Baseus Tungsten Kabel iPhone Fast Charging Type C to Lightning PD 20W,Rp89.900
handphone-tablet,aksesoris-handphone,GROTIC Tripod Selfie Stick 156cm Bluetooth Baut 1/4 Tongsis Holder Hp,Rp218.000
handphone-tablet,aksesoris-handphone,UNEED Kabel Data Type C to Lightning Iphone Fast Charging - UCB53Ci,Rp95.400
handphone-tablet,aksesoris-handphone,300% ORIGINAL KABEL CABLE DATA IPHONE TYPE C LIGHTNING FAST CHARGING - 1 meter,Rp66.000
handphone-tablet,aksesoris-handphone,ROBOT RT-CH14 CAR MOUNT PHONE HP HOLDER DASHBOARD MOBIL AUTOMATIC LOCK,Rp71.500
handphone-tablet,aksesoris-handphone,Tongsis Tripod Bluetooth 4in1 Selfie Stick Remote Action Cam,Rp83.300
handphone-tablet,aksesoris-handphone,18W Kabel Data fast charging BASIKE asli QC3.0 Antarmuka USB ke Tipe C,Rp19.000
handphone-tablet,aksesoris-handphone,Qualcomm Car Charger Mobil 3.0 Super Fast Charging 4 Port QC 3.0 12A,Rp79.000
handphone-tablet,aksesoris-handphone,Ugreen Kabel Data USB-A to Micro USB Fast Charging 0.25/1m/2m/3m US289,Rp23.000
handphone-tablet,aksesoris-handphone,Original Holder handphone Mobil HD-09 360 Degree Rotation Car Holder,Rp15.000
handphone-tablet,aksesoris-handphone,UNEED Kabel Data Auto Disconnect Type C 100W 6A SuperVOOC 2.0 QC 4+ PD,Rp79.600
handphone-tablet,aksesoris-handphone,Apple 20W USB-C Power Adaptor MHJF3 Original Charger iPhone 12 11,Rp290.000
handphone-tablet,aksesoris-handphone,UNEED USB OTG 3.0 USB A to Type C Adapter Converter - UAT02CA,Rp28.420
