base_type,type_,text,price
handphone-tablet,aksesoris-tablet,FLIP COVER STAND KULIT LEATHER SAMSUNG TAB A7 LITE T220 T225 PREMIUM,Rp24.900
handphone-tablet,aksesoris-tablet,Samsung Galaxy Tab S6 T865 Full Body Armor Hard Soft Case Casing Cover,Rp227.000
handphone-tablet,aksesoris-tablet,Cyrill by Spigen Kajuk Leather Magsafe Case iPhone 14 Pro Max Plus,Rp575.000
handphone-tablet,aksesoris-tablet,Phone Holder Standing Hp HD25 Tongsis Selfie Panjang warna hitam Lazy,Rp6.999
handphone-tablet,aksesoris-tablet,Case Samsung A32 4G Casing Clear HD Free Tempered Glass + Skin,Rp35.000
handphone-tablet,aksesoris-tablet,Case iphone 13 pro softcase silikon casing logo,Rp28.000
handphone-tablet,aksesoris-tablet,Magic Touchpad Keyboard Case For iPad Air 4 10.9 Pro 11 2021 2020 2018,Rp1.079.100
handphone-tablet,aksesoris-tablet,Apple Pencil Gen 1 Garansi Resmi Original Ibox,Rp1.799.000
handphone-tablet,aksesoris-tablet,Samsung A7 2018 A750 A750f original casing kesing housing fullset,Rp115.000
handphone-tablet,aksesoris-tablet,SAMSUNG A20/A20E/A20S/A21/A21S TEMPERED GLASS ANTI MINYAK,Rp4.500
handphone-tablet,aksesoris-tablet,XIAOMI REDMI A1 2022 TEMPERED GLASS CLEAR SCREEN GUARD PROTECTOR 9H,Rp31.500
handphone-tablet,aksesoris-tablet,"ESR Tempered Glass for iPad 10 10.9"" 2022",Rp165.000
handphone-tablet,aksesoris-tablet,Okoume Tongsis Ultra Long Invisible Selfie Stick Bullet Time 3 Meter F,Rp131.100
handphone-tablet,aksesoris-tablet,PAPER LIKE ANTI GORES SEPERTI KERTAS FOR ALL IPAD,Rp45.000
handphone-tablet,aksesoris-tablet,Casing Nokia 105 New RM1134 Housing Nokia 105 New RM-1134,Rp15.000
handphone-tablet,aksesoris-tablet,Case RELX Infinity/Casing RELX Infinity/Casing RELX Infinity Silikon,Rp69.999
handphone-tablet,aksesoris-tablet,kabel iPhone fast charging type C Original[100%] cabutan hp resmi iBox,Rp150.000
handphone-tablet,aksesoris-tablet,Xundd Beetle Stand Case iPad Air 4 10.9 2020 4th Gen Hybrid Back Case,Rp125.000
handphone-tablet,aksesoris-tablet,Smart Case iPad Pro 2020 11 inchi,Rp135.000
handphone-tablet,aksesoris-tablet,Tempered Glass Full Realme C11 Kaca Anti Gores Pelindung Temper Glas,Rp6.000
handphone-tablet,aksesoris-tablet,Leather Case iPad 10.9 ESR Ascend Hybrid,Rp509.900
handphone-tablet,aksesoris-tablet,Phone Holder Lazypod Mobile Monopod Stand HP Smartphone Jepit Meja,Rp13.950
handphone-tablet,aksesoris-tablet,"Baseus iPad Mini 6 8.3"" 2021 Paperlike Screen Guard Protector Matte",Rp119.000
handphone-tablet,aksesoris-tablet,Case Apple iPad Pro 11 Inch 2021 Aramid Real Carbon Fiber Super Thin,Rp499.000
handphone-tablet,aksesoris-tablet,Samsung Galaxy A70 Flip Wallet Caseme Leather Case Sarung Kulit,Rp80.000
handphone-tablet,aksesoris-tablet,TEMPERED GLASS MATTE OPPO A95 A12 A15S A16 A91 A52020 A92020 NEO 9 F7,Rp13.500
handphone-tablet,aksesoris-tablet,Sandaran HP Phone Holder Tempat Handphone di Meja Penyangga Smartphone,Rp2.000
handphone-tablet,aksesoris-tablet,iPad Pro 12.9 1st 2nd Gen 2015 2017 Smart Flip Book Cover Case Casing,Rp147.000
handphone-tablet,aksesoris-tablet,Apple Pencil Gen 2 Silicone Case Cover Translucent Duotone PREMIUM,Rp129.900
handphone-tablet,aksesoris-tablet,Stylus S Pen Samsung Galaxy Z Fold 3 / Z Fold 4 OEM,Rp188.000
handphone-tablet,aksesoris-tablet,Audio Converter USB Type C to Jack 3.5mm Baseus for SAMSUNG Note 10,Rp95.000
