base_type,type_,text,price
audio-kamera-elektronik-lainnya,audio,COPPER EXTRA BASS Series Earphone/Headset/Handsfree CP014 - Hitam,Rp30.000
audio-kamera-elektronik-lainnya,audio,REMAX Multimedia Digital Voice Recorder Digital Noise Reduction RP3,Rp375.000
audio-kamera-elektronik-lainnya,audio,Nakamichi TW018ENC PLUS True Wireless Earbuds Bluetooth Earphone TWS,Rp329.000
audio-kamera-elektronik-lainnya,audio,BASEUS TRUE WIRELESS BLUETOOTH EARPHONE EARBUDS TWS BOWIE E3,Rp255.000
audio-kamera-elektronik-lainnya,audio,[Best Offer] HUAWEI FreeBuds 5i Wireless Earphone | Hi-Res Sound,Rp939.000
audio-kamera-elektronik-lainnya,audio,Type C to 3.5 mm Audio Jack Connector Converter Adapter Digital Chip,Rp35.000
audio-kamera-elektronik-lainnya,audio,Vention Kabel Toslink Digital Audio Optical Fiber Optik,Rp26.320
audio-kamera-elektronik-lainnya,audio,QKZ AK6 Sport Running Headset Earphone wih MIC,Rp36.900
audio-kamera-elektronik-lainnya,audio,BASEUS D02 PRO WIRELESS HEADPHONE BLUETOOTH 5.0 EARPHONE SPORT GAMING,Rp289.000
audio-kamera-elektronik-lainnya,audio,QKZ AK6 Pro Earphone In Ear Monitor Detachable with Microphone,Rp57.900
audio-kamera-elektronik-lainnya,audio,SoundPEATS TrueFree 2 - Bluetooth True Wireless Earbuds - Black,Rp349.000
audio-kamera-elektronik-lainnya,audio,Headset Bluetooth TWS F9-5 LED Smart Display with Powerbank,Rp60.000
audio-kamera-elektronik-lainnya,audio,Converter Splitter UGREEN Audio Type C To Jack Dual Jack 3.5mm On Mic,Rp117.500
audio-kamera-elektronik-lainnya,audio,Baseus WM01 / Encok WM-01 TWS True Wireless Earbuds Bluetooth Earphone,Rp170.000
audio-kamera-elektronik-lainnya,audio,Jabra Elite 2 True Wireless Earbuds Earphone TWS Jabra Elite2,Rp729.000
