base_type,type_,text,price
elektronik,alat-pendingin-ruangan,Honeywell F90A Electronic Air Cleaner Surface Mount,Rp28.160.000
elektronik,alat-pendingin-ruangan,cairan metil thawzone kulkas,Rp1.820
elektronik,alat-pendingin-ruangan,HEPA Filter SHARP Air Purifier FP-F30Y / FP-J30Y / FP-GM30Y FZ-F30HFE,Rp125.000
elektronik,alat-pendingin-ruangan,Dyson Purifier Cool™ TP7A White/Nickel,Rp8.599.000
elektronik,alat-pendingin-ruangan,F57B Honeywell Electronic Air Cleaner/ Pembersih Udara Dalam Ruangan,Rp19.030.000
elektronik,alat-pendingin-ruangan,MIISOO Kipas Angin Mini Lipat Portable / Mini Fan / Kipas Genggam Cute,Rp22.900
elektronik,alat-pendingin-ruangan,Onix Air Purifier Lite Touch Display Pembersih Udara HEPA Filter,Rp429.000
elektronik,alat-pendingin-ruangan,Philips Air Purifier 800 Series Nano Protect HEPA Filter - AC0820/20,Rp1.022.000
elektronik,alat-pendingin-ruangan,MOVIO USB Fan - Kipas Angin Meja / Kipas Angin Portable Kipas USB,Rp39.000
elektronik,alat-pendingin-ruangan,COSMOS STAND FAN / KIPAS ANGIN 16SDB / 16-SDB (16 INCH) GARANSI RESMI,Rp227.600
elektronik,alat-pendingin-ruangan,Goto Windy Kipas Angin Kecil Mini Fan Genggam Tangan Portable USB,Rp29.900
elektronik,alat-pendingin-ruangan,Kipas Angin Dinding NAGOYA (Wall Fan) Baling Besi 18,Rp239.000
elektronik,alat-pendingin-ruangan,Exhaust Fan Ceiling Sekai Exhaust plafon 12 inch CEF 1295 CEF1295,Rp204.900
elektronik,alat-pendingin-ruangan,Gaabor Standing Fan Kipas Angin Berdiri 2in1 - Putih / GFD-N360A,Rp299.000
elektronik,alat-pendingin-ruangan,Kipas Angin Dinding Remote Sekai WFN 1628 WFN1628,Rp293.900
elektronik,alat-pendingin-ruangan,KIPAS ANGIN DINDING TEMBOK SANEX WALL FAN 12 INCH FW-1280,Rp137.500
elektronik,alat-pendingin-ruangan,Covenant Air Purifier AP-02 Pembersih Udara Dengan Hepa Filter,Rp325.000
elektronik,alat-pendingin-ruangan,Kipas Lipat Portable USB Charge Portable Unitech Kipas Angin,Rp69.000
elektronik,alat-pendingin-ruangan,KIPAS ANGIN BERDIRI BESI TORNADO GMC 318 STAND FAN GMC 16 inch SNI,Rp194.900
elektronik,alat-pendingin-ruangan,Sekai Kipas Angin Dinding WFN 1627 - 16 Inchi Wall Fan,Rp237.500
elektronik,alat-pendingin-ruangan,REMOTE AC MULTI /UNIVERSAL JUN DA K-1028E,Rp22.000
elektronik,alat-pendingin-ruangan,MOVIO Reflektor AC - Talang AC / Penahan Angin AC / AC Reflektor,Rp57.500
elektronik,alat-pendingin-ruangan,Spidy Cover Pelindung Hembusan Angin AC Talang Windshield AC Reflector,Rp60.000
elektronik,alat-pendingin-ruangan,LEKA DH6221 Dehumidifier - Serap Air Penyerap Kelembaban Udara Dryer,Rp809.900
elektronik,alat-pendingin-ruangan,LEKA AP7705 Portable Air Purifier - Mini HEPA Filter Ion Negatif Anion,Rp319.900
elektronik,alat-pendingin-ruangan,Kipas Angin Meja NIKO 9 Inch Rotating,Rp99.000
elektronik,alat-pendingin-ruangan,"SEKAI Stand Fan 16"" SFN1620 - Hitam",Rp205.000
elektronik,alat-pendingin-ruangan,Kipas Angin Plafon/gantung NAGOYA (Ceiling Fan) 56' -Baling Besi MURAH,Rp286.100
elektronik,alat-pendingin-ruangan,kipas angin COSMOS 16 inch SN TWINO / stand fan COSMOS 16 SN TWINO,Rp274.050
elektronik,alat-pendingin-ruangan,NAGOYA KIPAS BERDIRI/STAND FAN KAKI SILANG 16INCH (HITAM),Rp118.000
elektronik,alat-pendingin-ruangan,MIYAKO STAND FAN / KIPAS ANGIN KAS-1606 X / KAS 1606X (16 INCH),Rp190.970
elektronik,alat-pendingin-ruangan,Cosmos 9 LDA Twino Kipas Meja / Desk Fan 2 in 1 9 Inch,Rp162.500
elektronik,alat-pendingin-ruangan,NIKO Kipas Angin Meja Desk Fan 9 Inch NKD 906A,Rp93.000
elektronik,alat-pendingin-ruangan,SEKAI Exhaust Fan 20 Cm MVF893 Exhaust Plafon MVF-893,Rp165.000
elektronik,alat-pendingin-ruangan,COSMOS Stand Fan 16 XDC / Kipas Angin Berdiri 16 Inch 16XDC,Rp219.000
elektronik,alat-pendingin-ruangan,Air Purifier Ecom Mask EK-030Plus Pembunuh Virus Corona dgn FilterCIO2 - Paket Hemat,Rp3.690.000
elektronik,alat-pendingin-ruangan,Mi Smart Air Purifier 4 Lite - Penyaring Pembersih Udara,Rp1.099.000
