base_type,type_,text,price
elektronik,elektronik-dapur,Kuvings EVO820 Matt Dark Red Cold Press Slow Juicer,Rp7.389.005
elektronik,elektronik-dapur,Mesin Pengaduk Adonan Roti/Planetary Dough Mixer 15L – B15 Non Cover,Rp6.100.000
elektronik,elektronik-dapur,Philips Blender 5000 Series Plastik 2L HR2221/30 - Hijau,Rp600.000
elektronik,elektronik-dapur,CHiQ Chest Freezer CCF 218DW [210 LITER],Rp2.459.000
elektronik,elektronik-dapur,Planetary Dough Mixer Mesin Pengaduk Adonan 10Liter,Rp4.635.000
elektronik,elektronik-dapur,SHARP Microwave 20 Liter R-220MA,Rp739.000
elektronik,elektronik-dapur,HAN RIVER Rice Cooker HRRC03 magic com Portable/Travel version/ studen,Rp195.000
elektronik,elektronik-dapur,PHILIPS RICE COOKER HD 3138 / HD3138 2L PREMIUM PLUS 100% ORI,Rp616.800
elektronik,elektronik-dapur,YONGMA YONG MA DIGITAL RICE COOKER MAGIC COM 2 L STAINLESS SMC 8027,Rp719.778
elektronik,elektronik-dapur,SHARP Sandwich Toaster Listrik KZS-70L,Rp163.000
elektronik,elektronik-dapur,SEKAI Rice Cooker Digital Low Sugar Low Carbo Anti Gemuk - CMW 720 LS,Rp389.000
elektronik,elektronik-dapur,MIYAKO MINI MAGIC COM RICE COOKER 0.6L 0.6 L MCM-606A MCM 606 A,Rp207.788
elektronik,elektronik-dapur,Miyako MCM 508 SBC Rice Cooker 1.8 Liter Stainless,Rp235.000
elektronik,elektronik-dapur,Miyako Blender Plastic 1 Liter 2in1 - BL 101 PL,Rp194.900
elektronik,elektronik-dapur,PHILIPS BLENDER 2 L HR2223 - HR 2223 GARANSI RESMI 100% ORI,Rp871.000
elektronik,elektronik-dapur,Kulkas Aqua AQR-D181(DS) Free Ongkir 1 Pintu Dark Silver 150 Liter,Rp1.529.000
elektronik,elektronik-dapur,MIYAKO MCM-508 SBC MagicCom / Rice Cooker 3IN1 ROSEGOLD,Rp238.000
elektronik,elektronik-dapur,Kirin Oven Listrik KBO-190 LW (19 Liter) DIJAMIN 100% ORI,Rp617.700
elektronik,elektronik-dapur,COSMOS Blender Kaca 2 Liter CB-282G GARANSI RESMI,Rp318.900
elektronik,elektronik-dapur,MIISOO Portable Blender Gilingan Mini Bumbu dan Daging dengan USB,Rp55.900
elektronik,elektronik-dapur,BOLDe Super Smart Slow Juicer Union,Rp1.259.000
elektronik,elektronik-dapur,Philips Digital Rice Cooker 1.8L - Fuzzy Logic Bakuhanseki HD4515/33,Rp695.000
elektronik,elektronik-dapur,Magic Com / Rice Cooker YONG MA YMC8017 / YMC 8017 ( 2 Ltr ) 100% ORI,Rp719.000
elektronik,elektronik-dapur,MIYAKO MINI RICE COOKER MAGIC COM 0.6L PSG607 PSG-607 MULTIFUNGSI 2IN1,Rp167.788
elektronik,elektronik-dapur,Advance Hand Mixer Tangan MX133 Pengocok Telur Pengaduk Adonan 100watt,Rp57.500
elektronik,elektronik-dapur,MIYAKO MAGIC COM RICE COOKER MINI 0.63 LITER PSG-607,Rp167.000
elektronik,elektronik-dapur,Mitochiba CH-100 Food Chopper Pencacah Makanan,Rp498.000
elektronik,elektronik-dapur,Mitochiba CH-200 Food Chopper Pencacah Makanan,Rp649.000
elektronik,elektronik-dapur,"Miyako Magic Com MCM 508 SBC - Black - [1,8 Ltr]",Rp239.100
elektronik,elektronik-dapur,Miyako Magic Com MCM 610 / Rice Cooker MCM 610 - Yellow - [1L],Rp211.600
elektronik,elektronik-dapur,MIYAKO MCM-606A Magic Com Warmer Plus 0.6 L / Rice Cooker Mini Murah,Rp214.800
elektronik,elektronik-dapur,RSA Showcase Agate 300 Agate-300 - 282liter - khusus JABODETABEK,Rp3.329.000
elektronik,elektronik-dapur,Han River 810PK blender portable/Juicer Usb 410M,Rp95.000
elektronik,elektronik-dapur,Hi-Cook Kompor Listrik ES-155,Rp199.000
elektronik,elektronik-dapur,SEKAI Oven Listrik Low Watt Pemanggang Makanan Serbaguna 10L - OV 100,Rp307.576
elektronik,elektronik-dapur,ALAT PERAS BUAH MANUAL HAND PRESSURE JUICER PRES / ALAT PEMERAS JERUK,Rp75.900
elektronik,elektronik-dapur,Philips Blender 5000 Series 2L Glass - Lavender HR2222/00,Rp640.000
elektronik,elektronik-dapur,Planetary Mixer 10Liter Mixer Roti/Mixer Adonan/Dough Mixer SZM-10,Rp4.635.000
elektronik,elektronik-dapur,Mesin masak modern XZ-TGS30,Rp21.000.000
elektronik,elektronik-dapur,Mixer Besar Hardcover SZ-50,Rp9.579.000
elektronik,elektronik-dapur,SHARP Straight Microwave Oven 23 Liter - R-21D0(S)IN,Rp939.000
elektronik,elektronik-dapur,Miyako - BL 102 PL Blender Plastik 1L 3in1 200W,Rp229.000
elektronik,elektronik-dapur,KIRIN Oven Listrik 19 Liter - KBO-190LW (Low Watt),Rp616.000
elektronik,elektronik-dapur,Starco Juicer Mini Portable Blender Motor Kuat 300ML Cas Ulang USB New,Rp119.000
elektronik,elektronik-dapur,Miyako Rice Cooker PSG 607 / Penanak Nasi PSG 607 - [0.6L],Rp172.500
elektronik,elektronik-dapur,"Gaabor Rice Cooker 1,2 L Penanak Nasi 3-4 Porsi - putih",Rp399.000
elektronik,elektronik-dapur,Kulkas Aqua AQR-D251(DS) Free Ongkir 2 Pintu 169 L Dark Silver,Rp2.499.000
elektronik,elektronik-dapur,PHILIPS HD4515 Rice Cooker Digital 1.8 Liter Fuzzy Logic - HD-4515,Rp699.000
elektronik,elektronik-dapur,Miyako - SM 625 Stand Mixer 190W,Rp279.000
elektronik,elektronik-dapur,Umeda OKOME Low Sugar Smart Rice Cooker,Rp1.090.000
elektronik,elektronik-dapur,Smart Rice Cooker Mini 0.8L Penanak Nasi Minimalis Praktis 200 Watt,Rp204.999
elektronik,elektronik-dapur,HAN RIVER HRIC01BK Smart Kompor Induksi Listrik 1200 watt - Black,Rp185.000
elektronik,elektronik-dapur,PHILIPS DIGITAL RICE COOKER HD HD4515/91 HD-4515/ [18 MODE MASAK] 1.8L,Rp919.000
elektronik,elektronik-dapur,HAN RIVER Magic com mini HRRC05WT Rice Cooker Mini/Penanak nasi 300wat,Rp198.900
elektronik,elektronik-dapur,Panasonic Hand Blender Complete MX SS1 / MX-SS1 - Garansi Resmi,Rp659.000
elektronik,elektronik-dapur,Kadonio panci listrik 1.8L Multifunctional Cooke Electric Cooking Pot,Rp122.550
elektronik,elektronik-dapur,SAMSUNG - COUNTER TOP MICROWAVE ME731K,Rp859.000
elektronik,elektronik-dapur,COSMOS Rice Cooker 1.8 Liter CRJ-3306 / Magic Com Pink,Rp238.800
elektronik,elektronik-dapur,SHARP Rice Cooker 1.8 Liter KS-N18MG,Rp255.000
elektronik,elektronik-dapur,Philips Blender 1L Plastik HR2042/10 Putih 290 watt Garansi resmi,Rp460.000
elektronik,elektronik-dapur,Miyako MCM 509 Rice Cooker Magic Com 3 in 1[ 1.8 Liter ],Rp229.000
elektronik,elektronik-dapur,MIYAKO RICE COOKER MAGIC COM 1.8L 1.8 L MCM-508SBC MCM 508 SBC,Rp235.518
elektronik,elektronik-dapur,Pisces Portable Blender Juice USB 300ml - PPB300,Rp180.000
elektronik,elektronik-dapur,Kulkas Aqua AQR-D270 (DS) Free Ongkir Jabodetabek 2 Pintu Dark Silver,Rp2.855.000
elektronik,elektronik-dapur,LocknLock Electric Cooker 1.8L - EJP528WHT,Rp372.000
elektronik,elektronik-dapur,Blender TURBO HEAVY DUTY EHM 8000 Jar Plastik 2L 350w EHM8000,Rp304.900
elektronik,elektronik-dapur,Miyako MCM 508 Magic Com [1.8 L],Rp241.176
elektronik,elektronik-dapur,ecentio 2 cup Juicer Portable Blender Portable kaca 8 mata pisau 720ml,Rp129.000
elektronik,elektronik-dapur,Miyako Magic Com MCM 609 / Rice Cooker MCM 609 - Yellow - [0.6L],Rp214.100
elektronik,elektronik-dapur,Cosmos Blender 2 L CB-282P,Rp276.000
elektronik,elektronik-dapur,TNW Juicer Blender Portable Mini Juicer Cup 6 Pisau Blender Kapsul Jus,Rp119.000
elektronik,elektronik-dapur,KC-P75 ELECTRIC OVEN - OVEN LISTRIK,Rp2.100.000
elektronik,elektronik-dapur,Mecoo Aesthetic 5 in 1 Antibacterial Odorless Chopper Blender Juicer,Rp599.000
elektronik,elektronik-dapur,BOSCH Built-In Oven / Oven Tanam Stainless Steel HBF134EB2K Series 2,Rp9.049.000
elektronik,elektronik-dapur,Hock Oven Kompor Tangkring Zinc Aluminium 04 Putaran Hawa OZA04PH,Rp280.000
elektronik,elektronik-dapur,Mesin Pembuat Kue/Mixer SZM-10L,Rp4.635.000
elektronik,elektronik-dapur,TOKEBI Hand Blender Cordless - Red & Black,Rp1.280.000
elektronik,elektronik-dapur,Philips Stand Mixers - Abu-abu - HR1559/50,Rp550.000
elektronik,elektronik-dapur,Planetary Dough mini Mixer Mesin Pengaduk Adonan 15 Liter,Rp5.407.000
elektronik,elektronik-dapur,TNW Jus Blender 6 Pisau Portable Juicer Cup USB Mini Mixer 400ML,Rp109.000
elektronik,elektronik-dapur,LocknLock Ceramic Multi Cooker 1.5L - EJP129WHT,Rp378.000
elektronik,elektronik-dapur,PHILIPS HD3138 Premium Plus Rice Cooker - HD 3138 Garansi Resmi,Rp635.000
elektronik,elektronik-dapur,CHANGHONG CBC100 Kulkas 1 pintu,Rp1.425.000
elektronik,elektronik-dapur,Mito R5+ Digital Rice Cooker 8 in 1 2 Liter Silver Black,Rp491.900
elektronik,elektronik-dapur,Alat Peras Jeruk - Lemon Squeezer Stainless Steel,Rp10.500
elektronik,elektronik-dapur,Mito MO 888 Fantasy Oven Jumbo 33 Liter,Rp1.199.000
elektronik,elektronik-dapur,PHILIPS Digital Rice Cooker [1.8 L] HD4515/33,Rp699.000
elektronik,elektronik-dapur,Miyako - PSG-607 Rice Cooker 0.6L Cook Only,Rp172.000
elektronik,elektronik-dapur,"SHARP RICE COOKER / MAGIC COM KSN 18-MG-SL / KSN 18 MG-RD (1,8 LITER)",Rp265.000
elektronik,elektronik-dapur,TNW Jus Blender 6 Pisau Portable Juicer Cup USB Mini Mixer 400ML,Rp109.000
elektronik,elektronik-dapur,DENPOO KOMPOR LISTRIK INDUKSI PUSH BUTTON LOWWATT DIC 200-1000,Rp270.000
elektronik,elektronik-dapur,PEMERAS JERUK LEMON LIME 2IN1 LEMON SQUEEZER PERASAN JUICE JUS PERAS,Rp72.000
elektronik,elektronik-dapur,CHANGHONG CBC50 Kulkas Mini,Rp1.137.510
elektronik,elektronik-dapur,[ Cosmos ] Blender Kaca Cosmos CB 282 G - 3 in 1 - Big Capacity,Rp276.700
elektronik,elektronik-dapur,JUICE CUP PORTABLE 6 MATA PISAU - NEW SHAKE N TAKE BLENDER PORTABLE,Rp51.000
elektronik,elektronik-dapur,Philips Rice Cooker 2L - Premium Plus Silver HD3138/33,Rp669.000
elektronik,elektronik-dapur,"SHARP Rice Cooker 3 In 1 1,8 Liter KS-N18MG-SL - Silver",Rp299.000
elektronik,elektronik-dapur,COSMOS CRJ-9308 Magic Com / Rice Cooker Stainless Steel 2 Liter,Rp357.456
elektronik,elektronik-dapur,Vitamer Pro Ice crusher S-011 Blender Juicer Portable mini Original,Rp315.000
elektronik,elektronik-dapur,MIYAKO Blender Plastik 2 in 1 - BL101PL,Rp189.900
elektronik,elektronik-dapur,VITARICE Low Carbo Rice Cooker T6/ penanak nasi rendah gula karbo,Rp799.000
elektronik,elektronik-dapur,ACE - Kris 10 Ltr Oven Toaster 350 Watt - Hitam,Rp369.900
elektronik,elektronik-dapur,SEKAI Rice Cooker Penanak Nasi 3 in 1 Stainless Body 1.8L CMW 520,Rp259.000
