base_type,type_,text,price
elektronik,elektronik-rumah-tangga,ROBOT VACUUM OBODE P8 ALL IN 1 SELF CLEANING DAN MOPING ROBOT,Rp11.950.000
elektronik,elektronik-rumah-tangga,Philips FeatherLight Steam Iron GC1418 Ungu,Rp320.000
elektronik,elektronik-rumah-tangga,Tineco A10 Dash Powerful Cordless Stick Handheld Vacuum Cleaner Vakum,Rp2.290.000
elektronik,elektronik-rumah-tangga,Philips Bagless Vacuum Cleaner 2000 Series - XB2142/09,Rp1.539.000
elektronik,elektronik-rumah-tangga,Floor drain mesin cuci full set Sambungan pembuangan air mesin cuci,Rp15.000
elektronik,elektronik-rumah-tangga,BOLDe Vacuum Cleaner Super Hoover Turbo 2 in 1 - Putih Abu Abu,Rp309.000
elektronik,elektronik-rumah-tangga,BOLDe Super Hoover Cyclone Black Series Blower & Vacuum Cleaner,Rp416.911
elektronik,elektronik-rumah-tangga,PHILIPS HD1173 Setrika Kering Classic Cepat dan Efisien 1000 W HD-1173,Rp277.000
elektronik,elektronik-rumah-tangga,PHILIPS SETRIKA UAP GC1424 / GC 1424 / GC-1424 [GARANSI RESMI] RED,Rp284.900
elektronik,elektronik-rumah-tangga,Deerma DX700 DX700S Vacuum Cleaner 2in1 Handheld Penyedot Debu Rumah,Rp399.000
elektronik,elektronik-rumah-tangga,Mesin Cuci 7 Kg Aqua AQW-77D-H Free Ongkir Top Loading Stainless Steel,Rp1.917.000
elektronik,elektronik-rumah-tangga,Gaabor Vacuum Cleaner 2 in 1 Portable Kapasitas 1.2 Liter,Rp277.000
elektronik,elektronik-rumah-tangga,Deerma Vacuum Cleaner 2-in-1 Penyedot Debu DX700 / DX700S,Rp399.000
elektronik,elektronik-rumah-tangga,"Mito WM1 Mesin Cuci Portable Mini 3,5 Kg",Rp625.000
elektronik,elektronik-rumah-tangga,Vacuum Cleaner / Vacum Cleaner RYU RVC 15 L / RVC15 Penyedot debu,Rp559.900
elektronik,elektronik-rumah-tangga,DEERMA DX115C PORTABLE 2IN1 SILENT VACUUM CLEANER PENYEDOT DEBU RUMAH,Rp289.000
elektronik,elektronik-rumah-tangga,Philips Setrika HD1173 / HD 1173 Dry Iron 350W 100% Ori,Rp284.900
elektronik,elektronik-rumah-tangga,Gaabor Vacuum Cleaner Kapasitas 1.5 Liter Penyedot Debu,Rp202.000
elektronik,elektronik-rumah-tangga,Philips Diva GC122 Hijau Putih Setrika + Free Packing Buble Wrap,Rp194.900
elektronik,elektronik-rumah-tangga,Gaabor Vacuum Cleaner Multifungsi tanpa kabel (Wireless) Mini Vacuum,Rp169.900
elektronik,elektronik-rumah-tangga,SETRIKA PHILIPS DST0510 / DST 0510 [350 WATT / ANTI LENGKET] 100% ORI,Rp152.672
elektronik,elektronik-rumah-tangga,SETRIKA MASPION HA 110 STAINLESS,Rp113.000
elektronik,elektronik-rumah-tangga,Philips Setrika Kering Classic - Hijau - HD1173/70,Rp304.000
elektronik,elektronik-rumah-tangga,Tineco Floor One S3 Smart Wet Dry Handheld Vacuum Cleaner Floor Washer,Rp6.119.000
elektronik,elektronik-rumah-tangga,Deerma DX115C Vacuum Vacum Cleaner Derma Debu Lantai Karpet Mobil 400W,Rp289.000
elektronik,elektronik-rumah-tangga,DEERMA DX700 HANDHELD ROTARY VACUUM CLEANER ULTRA QUIET 600W,Rp399.000
elektronik,elektronik-rumah-tangga,KURUMI KV 05 Cordless Stick Vacuum Cleaner,Rp1.715.500
elektronik,elektronik-rumah-tangga,BOLDe Super Hoover Cyclone Black ( Vacuum Cleaner ),Rp439.000
elektronik,elektronik-rumah-tangga,Tineco iFLOOR BREEZE Wet Dry Handheld Vacuum Cleaner Washer Scrubber,Rp3.790.000
elektronik,elektronik-rumah-tangga,PHILIPS GC1424/45 Setrika Uap Gosokan GC1424,Rp289.000
elektronik,elektronik-rumah-tangga,"Selang inlet serbaguna mesin cuci 1.5M, 2M, 3M, 4M, 5M",Rp25.500
elektronik,elektronik-rumah-tangga,selang inlet air masuk mesin cuci otomatis 5 meter samsung lg sharp,Rp27.000
elektronik,elektronik-rumah-tangga,HIT Mat Green Tea 48+6,Rp12.276
elektronik,elektronik-rumah-tangga,Daily Washing Machine Cleaner Tablet Pembersih Mesin Cuci Eco Friendly,Rp47.500
elektronik,elektronik-rumah-tangga,Simplus Setrika Uap Listrik 800W Portable Garment Steamer Strika Uap,Rp199.000
elektronik,elektronik-rumah-tangga,Philips Dry Iron - HD1172/99,Rp315.000
elektronik,elektronik-rumah-tangga,"Main Brush Ecovacs Deebot Ozmo 920, 950, T8Aivi, T8, T9, N8Pro",Rp55.000
elektronik,elektronik-rumah-tangga,AVARO LS3000 Robot Vacuum Cleaner Vacum Cleaner Vaccum Cleaner,Rp1.999.000
elektronik,elektronik-rumah-tangga,Tineco iFLOOR Wet Dry Handheld Vacuum Cleaner Floor Washer Scrubber,Rp2.790.000
elektronik,elektronik-rumah-tangga,Philips Dry Iron - GC160/27,Rp310.000
elektronik,elektronik-rumah-tangga,Olike Mini Portable Vacuum Cleaner Penghisap Debu Mobil Rumah Meja,Rp74.000
elektronik,elektronik-rumah-tangga,SETRIKA UAP LIPAT PORTABLE - 2IN1 TRAVEL IRON STEAMER,Rp77.900
elektronik,elektronik-rumah-tangga,Pembersih Mesin Cuci 500gr Washing Machine Cleaner Anti Kuman Bakteri,Rp50.000
elektronik,elektronik-rumah-tangga,Vacuum Cleaner Wireless Portable Mini - Vakuum Penghisap Debu,Rp59.000
elektronik,elektronik-rumah-tangga,Deerma DX810 Vacum Vakum Vacuum Cleaner Derma Penyedot Debu 600W 15KPa,Rp399.000
elektronik,elektronik-rumah-tangga,SAMSUNG 70H4200 Mesin Cuci Top Loading 7KG WA70H4200SW/SE,Rp2.541.250
elektronik,elektronik-rumah-tangga,PerySmith XS20 Cordless Vacuum Cleaner Handheld Penyedot Debu 18KPA,Rp729.000
elektronik,elektronik-rumah-tangga,Mesin Cuci 2 Tabung Sharp ESF T75NT 8KG Low Watt Cuci dan Kering,Rp1.320.000
elektronik,elektronik-rumah-tangga,PHILIPS STH3010/70 Garment Steamer Compact STH3010 STH 3010,Rp575.000
elektronik,elektronik-rumah-tangga,Dorahomi setrika uap portable garment steamer foldable low watt 120ml,Rp196.500
elektronik,elektronik-rumah-tangga,KRISBOW Multi Cyclone smart vacuum cleaner - Penghisap Debu kering,Rp695.000
elektronik,elektronik-rumah-tangga,Maspion Electric Iron Setrika Listrik EX 1010 BB Hitam 350 W | GARANSI,Rp84.000
elektronik,elektronik-rumah-tangga,VACUUM CLEANER RYU (UN) RVC 15 /3 IN 1 WET & DRY & BLOW,Rp547.000
elektronik,elektronik-rumah-tangga,Mesin Cuci Sharp 7 Kg Front Loading ES FL 1073 PREMIUM DARK SILVER,Rp3.850.800
elektronik,elektronik-rumah-tangga,PerySmith V10 UV Anti Dust Mite Vacuum Cleaner Penyedot Debu Bed Sofa,Rp559.000
elektronik,elektronik-rumah-tangga,"Mito WM 1 Mesin Cuci Portable 3,5 Kg - Mesin Cuci Mini Mito 3,5Kg",Rp615.000
elektronik,elektronik-rumah-tangga,Tablet Mesin Cuci Pembersih Mesin Cuci Tablet Biru Penghilang Bau,Rp450
elektronik,elektronik-rumah-tangga,Tineco Floor One S5 Combo Smart Wet Dry Cordless Stick Handheld Vacuum,Rp7.519.000
elektronik,elektronik-rumah-tangga,Philips Diva Dry Iron GC122/37 350W Ungu,Rp200.000
elektronik,elektronik-rumah-tangga,Ecovacs DEEBOT U2 PRO Robot Vacuum Cleaner Mop Vacum Sapu Pel Vakum,Rp4.190.000
elektronik,elektronik-rumah-tangga,Ecovacs Cleaning Solution Cairan Pel Pembersih Lantai,Rp350.000
