base_type,type_,text,price
elektronik,lampu,LED MAGNETIC TRACK LIGHT INBOW REL LAMPU TRACKLIGHT RAIL 1 METER,Rp180.000
elektronik,lampu,GARDEN LAMP LAMPU TAMAN COB 5W LAMPU SOROT COB LAMPU TANCAP,Rp28.975
elektronik,lampu,Lampu Led Filamen 2w 3w 4w Bohlam Pijar Edison Cafe G45 ST64,Rp6.100
elektronik,lampu,Lampu Led Strip RGB Warna Warni IP44 3528 Komplit Set Adaptor Remote,Rp24.000
elektronik,lampu,Lampu Tempel Dinding Led Magnetic Portable 3 Mode Lampu,Rp22.000
elektronik,lampu,LAMPU EMERGENCY 26SMD 8JAM USB DARURAT AOKI AK 7820,Rp42.500
elektronik,lampu,UPHOME Lampu Tidur Led Wireless Remote Control 3 Color Gaya Jepang,Rp85.000
elektronik,lampu,BARDI Smart LED BLUETOOTH BT 9W RGBWW Beacon Bulb Lampu Tidur Kerja,Rp73.000
elektronik,lampu,MOVIO LED Magnet Lamp - Lampu Baca / Lampu Meja / Lampu Dinding Tempel,Rp70.000
elektronik,lampu,Rechargeable LED Flashlight Senter LED Isi Ulang Joyko FL-88,Rp36.630
elektronik,lampu,Lampu LED LUMENS 12w 12 watt 12watt putih TERANG MURAH 110++ Lm/W,Rp21.859
elektronik,lampu,"PANALED PREMIUM , LED SUPER BRIGHT, BERKUALITAS ,5/10/15/20/30/40w SNI",Rp3.000
elektronik,lampu,kap lampu gantung/kap wd+fitting gantung E27 uk 30cm free bubble wrap,Rp12.500
elektronik,lampu,Tongkat lampu lintas lalu/lampu lalin kurus panjang / pedek senter,Rp29.000
elektronik,lampu,Golden LED LAMPU DOWNLIGHT LED 3 WARNA 6WATT/PANEL LED/LAMPU PLAFON - Model 1,Rp10.599
elektronik,lampu,Philips Lampu Smart WiFi LED 13W With Bluetooth - Tunable White,Rp50.100
elektronik,lampu,LAMPU MR16 MR 16 3W / 5W / 7W INLITE INMR1603 PUTIH / KUNING,Rp12.500
