base_type,type_,text,price
gaming,aksesoris-game-console,[ANTI ROBEK] Terpal UNO 550 GSM (Terpal Jadi Ukuran Bebas Custom),Rp39.000
gaming,aksesoris-game-console,AKSESORIS ILUMA SILICONE SLEEVE ORIGINAL,Rp99.990
gaming,aksesoris-game-console,Gulikit Kingkong 2 Pro NS09 Controller Switch Android Gamepad PC IOS,Rp699.000
gaming,aksesoris-game-console,8bitdo Ultimate Bluetooth / 2.4g Controller Windows or Nintendo Switch,Rp499.000
gaming,aksesoris-game-console,Logitech USB Receiver Dongle Logitech Nano Receiver Non Unifying,Rp60.000
gaming,aksesoris-game-console,Gulikit Kingkong 2 Pro NS09 Controller Nintendo Switch Android PC IOS,Rp699.000
gaming,aksesoris-game-console,Nintendo Switch / N Switch Joy-Con Joycon Joy Con (Left / Right) WARNA,Rp1.015.000
gaming,aksesoris-game-console,Sarung Tangan Jempol Jari Anti Keringat Game PUBG FF Mobile Legend,Rp585
gaming,aksesoris-game-console,Nintendo Switch YS31 Gamepad Joycon Controller Wireless Light MD RGB,Rp399.000
gaming,aksesoris-game-console,Dualshock 3 / Stick / Stik PS3 Wireless Original Pabrik,Rp69.000
gaming,aksesoris-game-console,Stik Tw Ps2,Rp29.400
gaming,aksesoris-game-console,Dobe Cooling Fan PS5 / Kipas PS 5 / Pendingin / Heat Sink TP5-1523,Rp125.000
gaming,aksesoris-game-console,Nintendo Switch Gulikit Kingkong 2 Pro Controller Wireless NS09,Rp699.000
gaming,aksesoris-game-console,Stik Stick PS3 Wireless Playstation 3 + Kabel Charger,Rp48.900
gaming,aksesoris-game-console,Batre Baterai Battery PSP Slim 2000 3000,Rp39.900
gaming,aksesoris-game-console,JSAUX 6 in 1 Steam Deck Docking Station USB C Dock for Steam Deck Ipad,Rp650.000
gaming,aksesoris-game-console,Kabel RCA Kabel AV PS3/PS2,Rp7.500
gaming,aksesoris-game-console,Sarung Jempol Jari ISI 2 ANTI BASAH / KERINGAT Layar HP PUBG,Rp750
gaming,aksesoris-game-console,Stick PS5 Stik PS5 DualSense Wireless Controller PS5 PALING MURAH!!,Rp935.000
gaming,aksesoris-game-console,Nintendo Switch DOBE Travel Storage EVA Carry Bag ( Black ),Rp249.000
gaming,aksesoris-game-console,Stick Ps3 OP Wireless Original Pabrik Hitam Controller,Rp46.500
gaming,aksesoris-game-console,Charging Dock Stik Stick PS3 Dual Move Charging Dock,Rp33.000
gaming,aksesoris-game-console,Stik Stick PS2 Sony Getar Dualshock - Best Quality - Hitam,Rp29.300
gaming,aksesoris-game-console,Kabel USB Charger Stik Stick PS4 Ori Original Foxconn,Rp18.500
gaming,aksesoris-game-console,PS5 Dual Sense Controller /PS5 DualSense/ PS5 Controller / Stik PS5,Rp799.000
gaming,aksesoris-game-console,Stick Ori mesin ps4 copotan ps4 pro,Rp299.999
gaming,aksesoris-game-console,PS5 Dualsense Dual Sense Controller Wireless Stik Stick Joystick,Rp948.000
gaming,aksesoris-game-console,STICK PS2 ORI PABRIK SUGOI HARGA PROMO,Rp24.500
gaming,aksesoris-game-console,Camelion Alkaline Battery Batre Coin Batere AG13 Baterai Kancing LR44,Rp13.000
