base_type,type_,text,price
gaming,aksesoris-mobile-gaming,REPEATER GSM 4 BAND LTE HIGH POWER HANYA REPEATER + ADAPTOR,Rp3.700.000
gaming,aksesoris-mobile-gaming,antenna outdoor penguat sinyal GSM 3G 4G 698-2700 mhz.,Rp350.000
gaming,aksesoris-mobile-gaming,8bitdo Pro 2 Wireless Gamepad Switch PC Android MacOs Joystick Ori,Rp425.000
gaming,aksesoris-mobile-gaming,Sarung Tangan Jempol Gaming Anti Keringat PUBG FF Mobile Legend New,Rp540
gaming,aksesoris-mobile-gaming,Paket Area minim Signal/Penguat Sinyal Hp/Repeater Gsm BOSETECH,Rp4.275.000
gaming,aksesoris-mobile-gaming,Fantech REVOLVER WGP12 Wireless Gamepad,Rp289.000
gaming,aksesoris-mobile-gaming,Rexus Daxa Asteria AX1 Wireless Gamepad Joystick,Rp389.000
gaming,aksesoris-mobile-gaming,Rexus Pro Gaming Wireless Gamepad GX100,Rp269.000
gaming,aksesoris-mobile-gaming,Logitech F310 Gamepad [FS],Rp278.320
gaming,aksesoris-mobile-gaming,Vention Sarung Tangan Jempol Gaming Jari Game PUBG FF CODM,Rp11.000
gaming,aksesoris-mobile-gaming,Funcooler X20 Fan Cooler Radiator Pendingin HP Cooling Fan gaming,Rp99.900
gaming,aksesoris-mobile-gaming,Funcooler X36 Radiator Pendingin HP Magnet Fan Cooler Cooling Fan HP,Rp215.000
gaming,aksesoris-mobile-gaming,Pokemon GO Plus PoGO+ AUTO VERSION JAM POKEMON GO WARNA,Rp249.000
gaming,aksesoris-mobile-gaming,Funcooler X9 Fan Cooler Radiator Pendingin HP Cooling Fan gaming,Rp189.000
gaming,aksesoris-mobile-gaming,Gamen GMR02 Fan Cooler Radiator Kipas Pendingin HP Cooling Fan Gaming,Rp53.500
gaming,aksesoris-mobile-gaming,Kipas Pendingin HP Mobile Cooling Fan Pad Cooler Handphone H15,Rp26.999
gaming,aksesoris-mobile-gaming,Flydigi P1 Lite Silver Cloth Gaming Finger Sleeve Sarung Jempol Flydig,Rp45.000
gaming,aksesoris-mobile-gaming,Sarung Tangan Jempol Gaming Anti Keringat PUBG FF Mobile Legend New,Rp540
gaming,aksesoris-mobile-gaming,Rexus Daxa AX1 Asteria Gamepad Dual Connection,Rp369.000
gaming,aksesoris-mobile-gaming,Legendary Heatsink Aluminium Pad Pendingin HP,Rp35.000
gaming,aksesoris-mobile-gaming,Gamesir X3 type C MobileGamepad Phone Controller Cooler with EGG NS,Rp1.075.000
gaming,aksesoris-mobile-gaming,SARAFOX SARUNG TANGAN JEMPOL JARI PUBG ML CODM ORIGINAL ISI 1SET 2PCS,Rp22.500
gaming,aksesoris-mobile-gaming,Memo FLA2 Fancooler Pendingin Hp CoolingFan Portable 300mAh,Rp75.000
gaming,aksesoris-mobile-gaming,Gamepad | Game Pad Bluetooth X3 plus HOLDER,Rp81.000
gaming,aksesoris-mobile-gaming,BLACK SHARK THE MONSTER GAMING TRIGGER L1 R1 PUBG BLACKSHARK TRIGGER,Rp44.000
gaming,aksesoris-mobile-gaming,Cooler Handphone Memo DL01 / Fancooler Radiator / Pendingin HP DL 01,Rp139.900
gaming,aksesoris-mobile-gaming,sarung jempol jari finger gaming PUBG layar hp game isi 2 touch screen,Rp1.033
gaming,aksesoris-mobile-gaming,Legendary Heatsink Aluminium Pad Pendingin HP,Rp32.500
gaming,aksesoris-mobile-gaming,Sarung Jempol Game WASP FEELERS PUBG CODM,Rp499
gaming,aksesoris-mobile-gaming,Black Shark FunCooler 3 Pro - BR31 3pro Blackshark Fun cooler Type-C,Rp649.000
gaming,aksesoris-mobile-gaming,Rexus GX100 Wireless Gaming Gamepad Controller,Rp259.000
gaming,aksesoris-mobile-gaming,UNEED Gaming Gloves Silver Fiber Sarung Tangan Gaming 1pairs,Rp33.320
gaming,aksesoris-mobile-gaming,X3 Gamepad Bluetooth Joystick HP Android Smartphone & TV Box,Rp81.000
gaming,aksesoris-mobile-gaming,Ipega Ninja Bluetooth Gamepad Android Apple iOS PG-9157,Rp170.000
gaming,aksesoris-mobile-gaming,Black Shark FunCooler 3 Pro | Kipas Pendingin Hp iOS & Android,Rp699.000
gaming,aksesoris-mobile-gaming,Fantech REVOLVER GP12 Gaming Controller Gamepad Joystick USB,Rp170.000
gaming,aksesoris-mobile-gaming,BOSTER REPEATER SINGLE BAND 4G LTE 1800MHZ LINTRATEK,Rp1.100.000
gaming,aksesoris-mobile-gaming,REPEATER GSM TRI BAND 2G/3G/4G LTE ( MESIN AJA) tidak termasuk antena,Rp5.650.000
gaming,aksesoris-mobile-gaming,repeater / penguat sinyal LINTRATEK 1800MHZ DCS 4G LTE HIGH POWER,Rp1.500.000
gaming,aksesoris-mobile-gaming,"Jamin Sinyal Full Bar, Repeater Gsm Triband 4G LTE, Penguat Signal hp",Rp2.550.000
gaming,aksesoris-mobile-gaming,Ipega Black Kingkong Bluetooth Gamepad Android Apple iOS PG-9128,Rp159.000
gaming,aksesoris-mobile-gaming,UNEED Gaming Finger Sleeve Copper Fiber Sarung Jari Gaming 1pairs,Rp10.450
gaming,aksesoris-mobile-gaming,Oaktree Magnetic Iron Pad Stiker Magnet Pendingin HP Gaming,Rp20.000
gaming,aksesoris-mobile-gaming,Flydigi P1 Silver Cloth Mobile Gaming Finger Sleeve Sarung jempol Game,Rp89.000
gaming,aksesoris-mobile-gaming,GameSir G4 Pro Joystick Gamepad Game Controller PUBG ML Genshin COD,Rp499.000
gaming,aksesoris-mobile-gaming,Memo Aluminium Heatsink Chamber for phone Cooler plat pendingin Hp,Rp33.000
gaming,aksesoris-mobile-gaming,Rexus Pro Gaming Wireless Gamepad Gladius GX200,Rp299.000
