base_type,type_,text,price
gaming,virtual-reality,Oculus Quest 2 128Gb Virtual Reality VR Headset Facebook Metaverse Ori,Rp6.349.000
gaming,virtual-reality,Meta Quest Pro 256 Gb VR Headset Metaverse Oculus Quest Pro,Rp20.899.000
gaming,virtual-reality,VIRTUAL REALITY FOR SMARTPHONE + REMOTE BLUETOOTH / VR BOX 2.0,Rp83.000
gaming,virtual-reality,OCULUS Link Cable / USB 3.2 kabel data 5M type C To C Virtual Reality,Rp195.000
gaming,virtual-reality,Meta Quest 2 Unit Headset 128 Gb 256 Gb - Oculus Quest 2,Rp3.799.000
gaming,virtual-reality,PICO 4 VIRTUAL REALITY HEADSET ALL IN ONE VR SOMATOSENSORY 128GB 256GB,Rp5.120.000
gaming,virtual-reality,BOBOVR Z6 Virtual Reality VR Glass 3D Cardboard,Rp450.000
gaming,virtual-reality,VR Box 3D IMAX Giant Screen Virtual Reality Glasses Shinecon G12 G10,Rp89.000
gaming,virtual-reality,Busa Ti Ng We Uk. Reguler Click Menthol 50gr .Gabus Filter Klik Mentol,Rp18.990
gaming,virtual-reality,SAOS PERASA BAKO MILD GF S∆MSO 100ML W/ BOTOL SEMPROT TRIGER MURAH,Rp52.500
gaming,virtual-reality,Oculus Quest 2 Link Cable Original Oculus Quest 2 Kabel PC 5m,Rp1.500.000
gaming,virtual-reality,KIWI Design 0.63Inch Ultrathin Sweat-absorbing Face Pad Oculus Quest 2,Rp170.000
gaming,virtual-reality,GeekCase Oculus Quest Travel Case with Protective Padding by GeekGamer,Rp500.000
gaming,virtual-reality,OCULUS Link Cable / USB 3.2 kabel data A To C Virtual Reality 5 Meter - Putih,Rp185.000
gaming,virtual-reality,Hifylux Adapter Connector Oculus Quest 2 With HTC Vive Deluxe Audio,Rp125.000
gaming,virtual-reality,Busa Ti Ng We Reguler 50gr . Gabus Filter Uk. Rguler Filter,Rp19.500
gaming,virtual-reality,Shinecon VR Box Metaverse IMAX Giant Screen Virtual Reality Glasses,Rp143.400
gaming,virtual-reality,Remote Vr Box Gearbox Controller Bluetooth Gamepad Smart Phone,Rp25.500
gaming,virtual-reality,VIRTUAL REALITY FOR SMARTPHONE + REMOTE BLUETOOTH / VR BOX 2.0,Rp55.000
gaming,virtual-reality,SAOS PERASA BAKO JARUM | MURAH JIKA BELI GROSIR,Rp5.450
gaming,virtual-reality,BOBOVR M2 Pro Head Strap with Battery Pack Oculus Quest 2 Original,Rp320.000
gaming,virtual-reality,Oculus Quest 2 128Gb Virtual Reality VR Headset Facebook Metaverse Ori,Rp6.349.000
gaming,virtual-reality,Shinecon 6.0 VR Box Virtual Reality dengan Headphone - Hitam,Rp235.196
gaming,virtual-reality,PROMO Samsung Gear Virtual Reality VR With Controller Oculus Original,Rp325.000
gaming,virtual-reality,Virtual Reality Box VR Glasses dengan Headphone Versi 6.0,Rp209.999
gaming,virtual-reality,USB Cabel Link Oculus VR 5Gbps Kabel Type C 5 M Flexibel & Durability,Rp189.000
gaming,virtual-reality,VR Box IMAX Giant Screen Virtual Reality Glasses Shinecon G13,Rp78.500
gaming,virtual-reality,VR Box Mini Virtual Reality Glasses 3D Mini,Rp28.500
gaming,virtual-reality,Nerf Nstrike N-Strike Mega Megalodon Not Twinshock Not Rotofury,Rp447.000
gaming,virtual-reality,Shinecon VR Box IMAX Giant Screen Virtual Reality Glasses - G10,Rp98.000
gaming,virtual-reality,Silikon Case Pelindung Remote Tv Sony Android Google TV New,Rp59.000
