base_type,type_,text,price
komputer-laptop,aksesoris-komputer-laptop,HIKVISION DS-U02 WEBCAM HIKVISION 2MP MIC WEBCAM GARANSI RESMI,Rp99.000
komputer-laptop,aksesoris-komputer-laptop,Belden RJ45 Connector Cat.6 (Konektor RJ-45 Cat6 : AP700008) ORIGINAL,Rp317.500
komputer-laptop,aksesoris-komputer-laptop,Automatic Adjustable Desk / Meja Electric Otomatis Ethertech - Hitam,Rp2.480.000
komputer-laptop,aksesoris-komputer-laptop,Dust Plug (Anti) Dustplug for Macbook,Rp10.000
komputer-laptop,aksesoris-komputer-laptop,[FS] Logitech B175 Wireless Mouse,Rp109.000
komputer-laptop,aksesoris-komputer-laptop,"LCD Drawing Writing Tablet 8,5'' - Papan Tulis Gambar Anak 8,5inch",Rp15.000
komputer-laptop,aksesoris-komputer-laptop,HIGHSPEED CARD READER,Rp21.000
komputer-laptop,aksesoris-komputer-laptop,Mouse Alcatroz Airmouse V Wireless 1200CPI - Alcatroz Airmouse 5,Rp35.000
komputer-laptop,aksesoris-komputer-laptop,Case Macbook Air M1 13 Inch & 2020 [ A2337 A2179 ] MBA Casing Cover,Rp105.000
komputer-laptop,aksesoris-komputer-laptop,[Exclusive Tokopedia] Rexus Mouse Wireless Office TP30 6D Silent Click,Rp69.000
komputer-laptop,aksesoris-komputer-laptop,Logitech G304 Lightspeed Wireless Gaming Mouse - Logitech G-304,Rp499.000
komputer-laptop,aksesoris-komputer-laptop,Holder Laptop Lipat P1 - Stand Laptop Ukuran Besar,Rp15.500
komputer-laptop,aksesoris-komputer-laptop,USB Card Reader Type C & Micro USB 3 in 1 TF SD Card OTG,Rp35.500
komputer-laptop,aksesoris-komputer-laptop,Wacom One by CTL-472/K0-CX Creative Pen Tablet CTL472 CTL 472 KO CX,Rp599.000
komputer-laptop,aksesoris-komputer-laptop,Altec Lansing Keyboard Dual Mode Wireless/Bluetooth ALBK6268,Rp235.000
komputer-laptop,aksesoris-komputer-laptop,UNEED Dudukan Laptop Stand Holder Laptop Aluminium Alloy - ULS901,Rp110.630
komputer-laptop,aksesoris-komputer-laptop,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Rp255.000
komputer-laptop,aksesoris-komputer-laptop,EasyCap Easy Cap Video Capture USB DVD AV Capture Video Card Adapter,Rp42.000
komputer-laptop,aksesoris-komputer-laptop,Robot RK10 Mini USB Wired Keyboard Ultra Thin Silent Button Anti Slip,Rp66.800
komputer-laptop,aksesoris-komputer-laptop,NYK Nemesis Cooling Pad X8 ARTEMIS,Rp342.000
