base_type,type_,text,price
komputer-laptop,aksesoris-pc-gaming,Secretlab TITAN Evo 2022 SoftWeave™ Plus Kursi Gaming-Frost Blue - Regular,Rp8.800.000
komputer-laptop,aksesoris-pc-gaming,Terraflex TR-1 Gaming Chair Kursi - Full Black,Rp1.599.000
komputer-laptop,aksesoris-pc-gaming,Secretlab TITAN Evo 2022 SoftWeave™ Plus Kursi Gaming-Black³ - Regular,Rp7.800.000
komputer-laptop,aksesoris-pc-gaming,Terraflex TF-1 Gaming Chair Kursi - Full Black,Rp1.999.000
komputer-laptop,aksesoris-pc-gaming,Secretlab Lumbar Pillow Pro,Rp1.150.000
komputer-laptop,aksesoris-pc-gaming,MOVIO Desk Mat Leather - Office Deskmat / Mouse Pad Gaming,Rp57.000
komputer-laptop,aksesoris-pc-gaming,Sades SD84 / SD-84 Kujira / Umi Speed Gaming Deskmat Water Resistant,Rp119.000
komputer-laptop,aksesoris-pc-gaming,UNEED Mousepad Gaming Aegis Speed Edition,Rp25.970
komputer-laptop,aksesoris-pc-gaming,Mouse Gaming Logitech G102 Prodigy / Logitech Gaming Mouse G102,Rp243.040
komputer-laptop,aksesoris-pc-gaming,Razer DeathAdder Essential Gaming Mouse,Rp249.000
komputer-laptop,aksesoris-pc-gaming,Xiberia Nubwo V20 Gaming Headset,Rp159.000
komputer-laptop,aksesoris-pc-gaming,Chaho Premium Quality Kursi Gaming Bangku Gaming Game Pesawat,Rp693.000
komputer-laptop,aksesoris-pc-gaming,Kursi Gaming SSbro Gamers Gaming Chair Kursi Kantor Premium Quality,Rp696.000
komputer-laptop,aksesoris-pc-gaming,ROBOT RP01 MP01 MOUSEPAD MOUSE PAD GAMING PC KOMPUTER ANTI SLIP RUBBER,Rp9.900
komputer-laptop,aksesoris-pc-gaming,Terraflex TF-1S Soft Fabric Series Gaming Chair Kursi - Sky Blue,Rp2.199.000
komputer-laptop,aksesoris-pc-gaming,Redragon Mechanical Gaming Keyboard DRAGONBORN WHITE - K630W,Rp308.700
komputer-laptop,aksesoris-pc-gaming,X3 Gamepad Bluetooth Smartphone Holder Wireless Joystick PC Game,Rp81.081
komputer-laptop,aksesoris-pc-gaming,Fantech WGP13 / WGP 13 Shooter II Wireless Gamepad,Rp264.600
komputer-laptop,aksesoris-pc-gaming,GAMEN Titan Elite Mechanical Pluggable Switch Gaming Keyboard WiredRGB,Rp224.900
komputer-laptop,aksesoris-pc-gaming,Mouse Gaming Logitech G102 V2 Lightsync RGB - Logitech G 102 V 2 RGB,Rp250.000
komputer-laptop,aksesoris-pc-gaming,Fantech RAIGOR II WG10 Mouse Wireless Gaming,Rp69.000
komputer-laptop,aksesoris-pc-gaming,Keyboard Gaming Multimedia Mechanical AULA F2058,Rp332.220
komputer-laptop,aksesoris-pc-gaming,Fantech OCA258 / OC-A258 Kursi Kantor Office Chair,Rp1.079.000
komputer-laptop,aksesoris-pc-gaming,Rexus Mousepad Gaming Kvlar T1,Rp75.000
