base_type,type_,text,price
komputer-laptop,desktop-mini-pc,Apple Mac Mini Late 2014 i5 2.6Ghz 8Gb RAM 256 SSD - A1347,Rp3.790.000
komputer-laptop,desktop-mini-pc,*Paket/Board* Raspberry Pi 4 Model B - 2GB/4GB/8GB,Rp2.400.000
komputer-laptop,desktop-mini-pc,CPU PC CORE I5 DDR 8 GB HDD 500 GB PC RAKITAN FOR OFFICE,Rp1.145.000
komputer-laptop,desktop-mini-pc,Apple Mac Mini M2 Pro Chip Macmini 2023 512GB 256GB SSD 8 8GB 16GB RAM,Rp11.439.000
komputer-laptop,desktop-mini-pc,LENOVO M900 THINKCENTRE BLACK,Rp3.186.650
komputer-laptop,desktop-mini-pc,Akrilik Custom General Berbagai Macam Tipe Warna Ketebalan,Rp1.000
komputer-laptop,desktop-mini-pc,PULSE AIO.5 KIT,Rp840.000
komputer-laptop,desktop-mini-pc,PC Rakitan EnterKomputer Gaming E-Sports Stealth,Rp6.721.000
komputer-laptop,desktop-mini-pc,"ASUS PC ALL IN ONE V222GAK WA141T - DUALCORE J4005 4GB 1TB 21,5 W10",Rp4.889.000
komputer-laptop,desktop-mini-pc,hdd kit asus,Rp90.000
komputer-laptop,desktop-mini-pc,Orange Pi Zero LTS - 512MB,Rp384.000
komputer-laptop,desktop-mini-pc,ASROCK DESKMINI X300 MINI ITX AMD SOCKET AM4 ( SUPPORT RINOIR ),Rp2.385.000
komputer-laptop,desktop-mini-pc,PC / CPU / KOMPUTER RAKITAN CORE i5 BARU GARANSI 1 TAHUN,Rp1.592.000
komputer-laptop,desktop-mini-pc,Mini PC Beelink GK35 8/128GB SSD Intel Quad J4105 Dual HDMI Windows 10,Rp2.350.000
komputer-laptop,desktop-mini-pc,ASROCK ZEN PC Deskmini X300 Series (AMD Zen Powered PC) SUPPORT 4000 S,Rp2.299.000
komputer-laptop,desktop-mini-pc,COIL URSA MINI UB LITE // URSA MINI 0.4 DISKON! satuan,Rp25.000
komputer-laptop,desktop-mini-pc,Intel NUC 7CJYH + SSD 256GB + DDR4 8GB,Rp2.500.000
komputer-laptop,desktop-mini-pc,PC Rakitan | Core i5 | Paket Office Lengkap | Siap Pakai,Rp2.847.110
komputer-laptop,desktop-mini-pc,PC LENGKAP LENOVO - RAM 4GB - HDD 160GB - MONITOR 19 INCH - KEY - MOS,Rp1.040.000
komputer-laptop,desktop-mini-pc,USB To RS485 High Speed Converter RS-485 RS 485 Adapter Protection,Rp34.850
komputer-laptop,desktop-mini-pc,Apple Macmini 2020 M1 Chip 8-Core 512GB 256GB MGNR3 MGNT3 SSD Mac Mini,Rp10.930.000
komputer-laptop,desktop-mini-pc,Orange Pi 3 LTS - 2GB DDR RAM (with 8GB EMMC Flash),Rp787.000
komputer-laptop,desktop-mini-pc,Jasa Cetak PCB Double Layer FR4 Full Masking Jalur Masking Silkscreen,Rp1.000
komputer-laptop,desktop-mini-pc,Mini PC CK2 Intel Core i5 7200U HDMI VGA DP 4K WiFi SSD Windows 11 Pro,Rp3.999.000
