base_type,type_,text,price
komputer-laptop,komponen-laptop,Baterai Original ASUS A442 A442U A442UR X442 F442U A480U C21N1638,Rp270.000
komputer-laptop,komponen-laptop,Baterai Tanam laptop Asus X555B X555Q X555QG C21N1347 Original,Rp267.500
komputer-laptop,komponen-laptop,Baterai Batre Original Laptop HP 240 G6 250 G6 255 G6 HSTNN-LB7W JC04,Rp184.500
komputer-laptop,komponen-laptop,Baterai Original Laptop Asus X450 X450C X450CA X450VC X450VP X450VE,Rp175.000
komputer-laptop,komponen-laptop,"LCD LED ORIGINAL APPLE MACBOOK PRO 13"" A1278 2008 2009 2010 2011 2012",Rp610.000
komputer-laptop,komponen-laptop,SODIMM DDR4 8GB PC-19200/2400 Mhz RAM Laptop/Notebook V-GeN PLATINUM,Rp356.000
komputer-laptop,komponen-laptop,RAM DDR3 SODimm V-GeN RESCUE 4GB PC12800/1600Mhz (Memory Laptop VGEN),Rp165.000
komputer-laptop,komponen-laptop,SODIMM DDR4 8GB PC-25600 3200 Mhz VGEN RAM Laptop 8 GB 3200Mhz V-GeN,Rp406.000
komputer-laptop,komponen-laptop,RAM IMPERION DDR3L 8GB 1600 MHz PC12800 RAM LAPTOP SODIMM ORI RESMI,Rp142.000
komputer-laptop,komponen-laptop,SODIMM DDR4 4GB PC-17000/2133 Mhz RAM Laptop/Notebook V-GeN PLATINUM,Rp230.000
komputer-laptop,komponen-laptop,Cooling Fan USB Kipas Pendingin TV Box Wifi Router AQUASCAPE AQUARIUM,Rp19.500
komputer-laptop,komponen-laptop,MEMORY RAM PNY Sodimm (XLR8) 8GB DDR4 3200Mhz PC 25600,Rp320.000
komputer-laptop,komponen-laptop,RAM SAMSUNG SODIMM DDR4 8GB PC 25600 / 3200MHz,Rp280.000
komputer-laptop,komponen-laptop,RAM KINGSTON SODIMM DDR4 8GB PC 21300 / 2666MHz,Rp265.000
komputer-laptop,komponen-laptop,TEAMGROUP Memory Notebook DDR4 8GB 3200Mhz,Rp370.000
komputer-laptop,komponen-laptop,Keyboard Laptop Acer Aspire 4736 4736Z 4738 4738Z 4739 4740 4741 4750,Rp54.500
komputer-laptop,komponen-laptop,Samsung RAM DDR4 8GB 16GB SODIMM Memory PC 3200 PC4 25600 Memori,Rp379.500
komputer-laptop,komponen-laptop,RAM LAPTOP SAMSUNG DDR4 8GB 2666 MHz 21300 ORI GAMING RAM NB DDR4 8GB,Rp265.000
komputer-laptop,komponen-laptop,SODIMM DDR4 16GB PC-25600/3200 VGEN RAM Laptop 3200MHz V-GeN PLATINUM,Rp776.000
komputer-laptop,komponen-laptop,RAM DDR4 SODimm V-GeN 8GB PC25600/3200Mhz - Memory Laptop VGEN,Rp403.000
komputer-laptop,komponen-laptop,Fan Processor original Intel LGA kipas prosesor,Rp26.000
komputer-laptop,komponen-laptop,RAM NB DDR3L 8GB PC 12800/1600 MHz SODIMM LAPTOP/NOTEBOOK SAMSUNG,Rp145.000
