base_type,type_,text,price
komputer-laptop,laptop,"Apple MacBook Pro M1 Chip 2020 13"" 256GB / 512GB SPACE GRAY, SILVER",Rp15.199.000
komputer-laptop,laptop,Lenovo V14 G2 Ryzen 3 5300U 256GB SSD 4GB Win+OHS Original,Rp5.799.000
komputer-laptop,laptop,Sale Lenovo Thinkpad X260 i5-8GB-SSD 128GB - Murah Aja,Rp2.300.000
komputer-laptop,laptop,"DELL LATITUDE 5480 CORE i5 / i7 Gen 7 / 16RAM / 512SSD / 14"" / W10 ORI",Rp3.099.000
komputer-laptop,laptop,Lenovo Thinkpad X1 Carbon i7 7600u | 16GB | SSD 256GB | Rare Item,Rp6.150.000
komputer-laptop,laptop,"Laptop Murah Samsung Chromebook 4 Celeron 32GB 4GB 11""6 HD RESMI SEIN",Rp1.944.000
komputer-laptop,laptop,Xiaomi RedmiBook 15 Intel Core i3 Garansi Resmi,Rp4.705.000
komputer-laptop,laptop,ASUS VIVOBOOK 14X M1403QA RYZEN 5 5600H 8GB 512SSD W11+OHS IPS 14WUXGA,Rp8.275.120
komputer-laptop,laptop,"MacBook Air 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB Apple IBOX",Rp17.100.000
komputer-laptop,laptop,Laptop Xiaomi RedmiBook 15 intel i3-1115G4 Ram 8GB + SSD 256GB W10,Rp4.937.000
komputer-laptop,laptop,"HP CHROMEBOOK 11 G8 / N4020/4GB/160GB/11.6""HD LAPTOP PELAJAR MURAH",Rp1.812.020
komputer-laptop,laptop,Apple Macbook Air 2020 M1 Chip 13 inch 512GB Touch ID Grey Silver Gold,Rp12.965.000
komputer-laptop,laptop,"Asus Vivobook 14X M1403QA - Ryzen 5 5600H 16GB 512ssd W11+OHS 14""WUXGA",Rp8.275.120
komputer-laptop,laptop,Asus Vivobook PRO 14X OLED M3400QA - Ryzen 7 5800H 16GB 512ssd W11+OHS,Rp10.999.000
komputer-laptop,laptop,"ACER ASPIRE 5 SLIM A514 54G - MX350 I3 1115G4 12GB 512SSD 14"" W11+OHS",Rp6.628.720
komputer-laptop,laptop,"ACER ASPIRE 5 A514-54G-32GJ 14"" HD i3-1115G4 8GB 512GB SSD SLV WIN 11",Rp6.999.000
komputer-laptop,laptop,"MacBook Pro 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB Grey Silver IBOX",Rp18.580.000
komputer-laptop,laptop,"Samsung Chromebook 4 Laptop 11""6 HD 32GB 4GB Garansi SEIN Laptop Murah",Rp1.944.000
komputer-laptop,laptop,"LAPTOP LENOVO V15 G2 AMD RYZEN 5 5500 12GB 512GB SSD VEGA 7 15"" FHD",Rp6.689.000
komputer-laptop,laptop,"ASUS Vivobook Pro 14X OLED M3400QA Ryzen 7-5800H 512G 14"" 2.8K W11 OHS",Rp10.719.000
komputer-laptop,laptop,"Laptop Infinix INbook X2 i3 1005G1 4GB 256GB SSD WIN11 14"" FHD",Rp4.519.000
komputer-laptop,laptop,Lenovo V14 G2 ALC Ryzen 3 5300 8GB 256SSD Vega 6 14 inch HD No OS DOS,Rp5.399.000
komputer-laptop,laptop,ASUS VIVOBOOK PRO 14X OLED M3400QA | RYZEN 7 5800H 16GB 512SSD W11+OHS,Rp10.999.000
komputer-laptop,laptop,"Laptop Lenovo V14 G2 Ryzen 3 5300U 8GB SSD 256GB VEGA6 W11 14.0"" RESMI",Rp5.599.720
komputer-laptop,laptop,Samsung Chromebook 4 4/32GB 11.6in Garansi Resmi,Rp1.860.000
komputer-laptop,laptop,"ASUS VIVOBOOK ULTRA 15 K513EA i3 1115G4 4/8GB 256GB 15.6""OLED W10 OHS",Rp8.001.700
komputer-laptop,laptop,Lenovo Slim D330 Flex touch N4020 8/128GB-Garansi Resmi,Rp3.175.000
komputer-laptop,laptop,"LAPTOP ACER ASPIRE 3 A314-22 AMD ATHLON 3050U 4GB 256GB 14"" FHD W10",Rp4.418.820
komputer-laptop,laptop,Lenovo Ideapad Slim 3i Core i3-1115G4 8GB 512SSD Windows 11 OHS FHD 14,Rp6.499.000
komputer-laptop,laptop,"Macbook Pro M1 Pro Max 2021 1TB 512GB SSD 16"" & 14"" Inch RAM 32GB 16GB",Rp27.180.000
komputer-laptop,laptop,HP 14S FQ2002AU RYZEN5 5626U 8GB 512SSD VEGA7 W11 OHS21 14FHD,Rp8.314.320
komputer-laptop,laptop,Lenovo Slim D330 Flex TOUCH N4020 8GB 128GB W10Pro 10.1 GREY,Rp3.599.000
komputer-laptop,laptop,LAPTOP LENOVO V15 G2 RYZEN 5 5500U 8GB 512SSD VEGA7 15.6FHD W11,Rp6.699.000
komputer-laptop,laptop,Asus Vivobook 14 A1400EA Pentium Gold 7505 8GB 256ssd 14.0FHD W11+OHS,Rp5.325.320
komputer-laptop,laptop,"LAPTOP INFINIX INBOOK X2 i7-1065G7 8G 512G INTEL IRIS PLUS 14"" FHD W11",Rp7.094.220
komputer-laptop,laptop,"Apple Macbook Pro 2023 16"" Inch 512GB 1TB 2TB 4 8TB M2 Pro M2 Max Chip",Rp46.999.000
komputer-laptop,laptop,"Apple Macbook Pro 2023 14"" Inch 512GB 1TB 2TB 4 8TB M2 Pro M2 Max Chip",Rp35.820.000
komputer-laptop,laptop,"ASUS VIVOBOOK A416JA I3-1005G1 4GB 256GB 14"" FHD W11 KB BACKLIT OHS",Rp5.499.000
komputer-laptop,laptop,LENOVO THINKPAD X240 CORE I5,Rp1.850.000
komputer-laptop,laptop,"LAPTOP LENOVO IP3 14IGL05 Intel N4020 4GB SSD 256GB 14"" HD W10 + OHS",Rp3.715.000
komputer-laptop,laptop,Laptop Xiaomi Redmibook 15 i3-1115G4 8GB 256GB FHD INTEL UHD W10,Rp4.890.200
komputer-laptop,laptop,Laptop Lenovo V14 G3 Ryzen 5-5625U 16GB 512SSD Vega7 W11 14.0FHD,Rp7.089.000
komputer-laptop,laptop,"ASUS VIVOBOOK 15 A516JAO - i3-1005G1 256GB SSD 15,6"" OHS W10 RESMI",Rp5.879.020
komputer-laptop,laptop,Laptop Murah Xiaomi Redmibook 15 i3-1115G4 8GB 256GB FHD INTEL W10,Rp4.937.000
komputer-laptop,laptop,"Apple Macbook Air M1 256 GB/13""/8GB - Garansi Resmi iBox",Rp13.070.000
komputer-laptop,laptop,"Apple Macbook Air M2 2022 13,6 inch - Garansi Resmi iBox Apple Indo",Rp18.399.000
komputer-laptop,laptop,Apple MacBook Pro 2021 14 Inch M1 Pro 512GB 1TB MKGP3 MKGR3 MKGQ3,Rp27.105.000
komputer-laptop,laptop,RedmiBook 15 Intel® Core™ i3 DDR4 8GB,Rp4.717.000
komputer-laptop,laptop,"LAPTOP ASUS VIVOBOOK 14X M1403QA Ryzen 5-5600H 16GB 512SSD 14"" W11 OHS",Rp8.275.120
komputer-laptop,laptop,Obrall Laptop Lenovo Thinkpad X260 Ci5 Gen6 8 GB SSD 256 Murah Muluss,Rp2.350.000
komputer-laptop,laptop,"HP CHROMEBOOK 11 G8 - N4020 4GB 32GB/160GB CHROME OS 11.6""HD",Rp1.968.820
komputer-laptop,laptop,Asus M415DAO VIPS352 Ryzen 3 3250 8GB 512ssd Vega3 W10+OHS 14.0FHD IPS,Rp5.952.520
komputer-laptop,laptop,ASUS Vivobook Pro 15 M3500QC OLED RYZEN 9 5900HX 16GB 512ssd RTX3050,Rp14.718.620
komputer-laptop,laptop,"LAPTOP XIAOMI Redmi Book 15 - Core i3-1115G4 8GB 256GB 15.6"" FHD W10",Rp4.771.620
komputer-laptop,laptop,"MSI MODERN 14 C11M I5 1155G7 8GB 512SSD IRISXE W11 IPS 14""",Rp7.799.000
komputer-laptop,laptop,ASUS VIVOBOOK PRO 15 OLED K6502ZC - RTX3050 I5 12450H 16GB 512SSD OHS,Rp16.199.000
komputer-laptop,laptop,ACER ASPIRE 5 SLIM A514 55 537X - GEN 12 I5 1235U 8GB 512SSD FHD IPS,Rp10.399.000
komputer-laptop,laptop,LAPTOP HP 14S DQ2622TU I3 1115G4 8GB/4GB 512SSD W11+OHS 14.0FHD IPS,Rp6.249.000
komputer-laptop,laptop,ASUS VIVOBOOK 14 A1405ZA i3 1215 8GB 512 SSD W11+OHS 14.0 WUXGA,Rp7.922.320
komputer-laptop,laptop,HP 14s-FQ1032AU/FQ1035AU RYZEN 3 5300U 8GB 512SSD W10+OHS 14FHD IPS,Rp6.599.000
komputer-laptop,laptop,LAPTOP HP INTEL CELERON RAM 8GB HDD 1000GB | WIN 10,Rp2.350.000
komputer-laptop,laptop,"ASUS VIVOBOOK PRO 14X OLED M3400QA RYZEN 7-5800H 16G 512G 14"" 2.8K W11",Rp10.426.220
komputer-laptop,laptop,Lenovo Thinkpad X270 Touchscreen Core i5 Gen6 8/256GB Ultrabook Mulus,Rp2.250.000
komputer-laptop,laptop,Asus Vivobook Pro 14X OLED M3400QA - Ryzen 5 5600H 512ssd 8GB W11+OHS,Rp9.480.520
komputer-laptop,laptop,"LENOVO IDEAPAD SLIM 1 14 RYZEN 3 7320U 8GB 256SSD W11+OHS 14""FHD -3HID",Rp6.249.000
komputer-laptop,laptop,HUAWEI MateBook D14 i5-1135G7 [8 GB + 512GB SSD] Gen11 - Silver,Rp8.299.000
