base_type,type_,text,price
komputer-laptop,pc-laptop-gaming,HP Victus 15-fb0009AX Ryzen 5 5600H RTX3050 512GB SSD 16GB Win11+OHS,Rp12.999.000
komputer-laptop,pc-laptop-gaming,STEAM DECK VALVE All-In-One Portable Handheld Gaming 64GB 256GB 512GB,Rp7.785.000
komputer-laptop,pc-laptop-gaming,PC Gaming Kerehore Fullset / Core i5 / 8 GB / SSD / GT730 4 GB / RGB,Rp1.550.000
komputer-laptop,pc-laptop-gaming,ASUS ROG STRIX-G G513IC RYZEN 7-4800H 8GB 512GB RTX3050 4GB OHS W10,Rp15.279.000
komputer-laptop,pc-laptop-gaming,Laptop Asus Tuf FX505DY 5 3350H Ram8/Ssd 512 gb VGA radeon RX 560X,Rp6.300.000
komputer-laptop,pc-laptop-gaming,ACER Nitro 5 AN515-58 - RTX3050 i5-12500H 16GB 512SSD WIN11 15.6 144Hz,Rp13.099.000
komputer-laptop,pc-laptop-gaming,Asus TUF FX506LH I565B8TO | i5 10300H 16GB 512ssd GTX1650 4GB W10,Rp9.699.000
komputer-laptop,pc-laptop-gaming,ASUS TUF GAMING F15 FX506LH i5-10300H 8GB 512GB GTX1650 4GB W10 144HZ,Rp9.661.820
komputer-laptop,pc-laptop-gaming,Lenovo Ideapad Gaming 3 GeForce RTX™ 3050 - Ryzen 5 5600 8GB 512SSD,Rp11.739.000
komputer-laptop,pc-laptop-gaming,"MSI Modern 14 C11M i3-1115G4 UHD Graphics 14"" FHD IPS-Level Thin Bezel",Rp5.999.000
komputer-laptop,pc-laptop-gaming,Lenovo Ideapad Gaming 3 Ryzen 5 5600 8GB 512SSD GTX1650 4GB W11 120Hz,Rp10.349.000
komputer-laptop,pc-laptop-gaming,ASUS TUF F15 FX506HC GeForce RTX™ 3050 - i5 11400 8GB 512ssd,Rp11.558.120
komputer-laptop,pc-laptop-gaming,"MSI Modern 14 C11M i5-1155G7 8GB 512GB iRiS Xe GRAPHICS 14"" FHD W11",Rp7.760.620
komputer-laptop,pc-laptop-gaming,"ASUS Vivobook Pro 14 OLED M3401QC - R5-5600H 8G 512G RTX3050 14"" 2.8K",Rp10.769.220
