base_type,type_,text,price
handphone-tablet,tablet,MICROSOFT SURFACE PRO 5 i7-7600 TOUCH/ 8GB RAM /INTEL IRIS/SUPER MULUS,Rp6.400.000
handphone-tablet,tablet,Apple iPad 10 / 10th Gen 2022 10.9 Inch 64GB 256GB Wifi Only BNIB,Rp7.262.000
handphone-tablet,tablet,Apple iPad 9 / 9th Gen 2021 10.2 Inch 64GB Wifi only BNIB,Rp4.929.000
handphone-tablet,tablet,Apple iPad Air 5 / 5th Gen 2022 10.9 Inch 64gb Wifi Only BNIB,Rp8.144.000
handphone-tablet,tablet,(RESMI) iPad 9 2021 wifi cell 64 256GB A15 Bionic Chip Grey Silver,Rp5.029.000
handphone-tablet,tablet,Xiaomi Redmi Pad 6/128GB 4/128GB Tablet Redmi Pad 90 Hz Garansi Resmi,Rp3.266.000
handphone-tablet,tablet,Xiaomi PAD 5 6/256 GB Garansi Resmi,Rp4.837.000
handphone-tablet,tablet,AMAZON NEW KINDLE PAPERWHITE GEN 11TH 2021 DISPLAY AND ADJUSTABLE WARM,Rp2.249.000
handphone-tablet,tablet,PROMO Samsung Chromebook 4 XE310XBA 4/32GB Garansi Resmi,Rp1.869.000
handphone-tablet,tablet,Xiaomi Redmi Pad - 6GB 128GB (6/128) - Tablet Mi Pad RedmiPad Resmi,Rp3.307.000
handphone-tablet,tablet,fusion splicer fujikura 90s,Rp99.999.999
handphone-tablet,tablet,alat pengikat/merapikan kabel fiber optik udara,Rp4.500.000
handphone-tablet,tablet,Tablet PC Asli Baru Galaxy tab A8 12GB+512GB Tablet Android 8.0 inch,Rp1.002.010
handphone-tablet,tablet,Microsoft Surface Go 3 6500 128 Gb Garansi 1 Tahun,Rp10.700.000
handphone-tablet,tablet,Blackmores Ginkgoforte Memory Support 80 Tablets,Rp348.000
handphone-tablet,tablet,Violin Grosir,Rp15.500
handphone-tablet,tablet,Mangga Khalifah,Rp97.500
handphone-tablet,tablet,Samsung Galaxy Tab S7 FE 5G 6GB/128GB - Garansi Resmi,Rp7.624.000
handphone-tablet,tablet,Raw Cacao Powder Nima,Rp59.900
handphone-tablet,tablet,Advan Tab Sketsa 2 4/64 Ram 4GB Internal 64GB Garansi Resmi,Rp2.115.000
handphone-tablet,tablet,Apple iPad Air 5 / 5th Gen 2022 10.9 Inch 64gb Wifi Only BNIB,Rp8.144.000
handphone-tablet,tablet,infinix hot 20i 4/64 garansi resmi,Rp1.408.000
handphone-tablet,tablet,Sharp AQUOS V6+ Plus / V6 NFC 3/32GB 4/64GB Garansi Resmi,Rp1.440.000
handphone-tablet,tablet,Queen Bee Pabrikan dan Flavour 1 Kg,Rp140.000
handphone-tablet,tablet,HUAWEI MATEPAD SE 10.4 4/64 RAM 4GB ROM 64GB WIFI ONLY GARANSI RESMI,Rp2.699.000
handphone-tablet,tablet,"HUAWEI MatePad SE 10.4"" Tablet [3+32GB] | 2K Display | Surround Sound",Rp2.498.000
handphone-tablet,tablet,"Apple iPad 10 Gen 2022 256GB 64GB 5G Wifi Celluler 10.9"" Inch",Rp6.955.000
handphone-tablet,tablet,Samsung Galaxy Tab S8 Wifi 8/128GB,Rp9.699.000
handphone-tablet,tablet,Apple iPad 9 9th Gen 2021 64GB Wifi Cellular Gray Silver,Rp5.210.000
handphone-tablet,tablet,"Samsung Tab A7 LITE 3/32 GB 8.7"" 8 inch Tablet T225 RAM 3 ROM 32",Rp1.929.000
handphone-tablet,tablet,Aflo Blackcurrant Brain Freeze,Rp40.000
handphone-tablet,tablet,Apple iPad 9 / 9th Generation 2021 10.2 Inch 64GB 256GB Wifi Only,Rp4.814.000
handphone-tablet,tablet,Samsung Galaxy Tab S6 Lite 2022 4/128 GB Garansi Resmi [FLASH SALE],Rp5.160.000
handphone-tablet,tablet,Tablet Android GO ICE 10 inchi 4G Lte Rom 64GB Bonus Flipcover + pen,Rp600.000
handphone-tablet,tablet,Apple iPad Air 5 M1 2022 64GB/256GB Wifi - Garansi Resmi iBox,Rp10.260.000
handphone-tablet,tablet,Rollbox 110 mm,Rp5.000
handphone-tablet,tablet,HUAWEI MatePad T10s 10.1 Inch Tablet [4GB+128GB],Rp2.699.000
handphone-tablet,tablet,Kaliandra Nima Bali disc 20%,Rp168.000
handphone-tablet,tablet,Infinix Hot 20i Ram 4/64 Baru Resmi dan No Repack,Rp1.403.000
handphone-tablet,tablet,Realme Pad Mini LTE 4/64 GB Garansi Resmi,Rp2.818.000
handphone-tablet,tablet,Apple iPad 9th Gen 2021 / iPad 9 64GB 256GB BNIB Original,Rp4.868.000
handphone-tablet,tablet,Duck Schmaltz | Lemak Bebek | Nima Bali 250ml,Rp65.000
handphone-tablet,tablet,SKCUB Strawberry Ice Cream Saltd,Rp72.000
handphone-tablet,tablet,HUAWEI MatePad 11 Tablet [6GB+128GB],Rp6.569.000
handphone-tablet,tablet,KETRIZ VIMIZI,Rp40.000
handphone-tablet,tablet,IBOX Apple AirPods Pro 2 2022 2nd Gen Magsafe Wireless Charging Case,Rp3.799.000
handphone-tablet,tablet,Apple iPad 9/9th Gen 2021 64/256 GB 10.2 inch Wifi Only,Rp5.444.000
handphone-tablet,tablet,New iPad Pro M2 11 inch 2022 Wifi Only BNIB 128/256/512GB,Rp11.629.000
handphone-tablet,tablet,Apple iPad Pro 5th Gen 2021 11 Inch 256GB Wifi Only M1 Chip LED,Rp12.564.000
handphone-tablet,tablet,Apple IPad Gen 9 32GB-256GB WIFI - Garansi Resmi,Rp5.849.000
handphone-tablet,tablet,"Amazon Kindle Paperwhite 11th Gen 6.8"" Inch 32GB 8GB E-Book Reader",Rp2.295.000
