base_type,type_,text,price
handphone-tablet,wearable-devices,RABIT Smart Tag / Anti Lost / Pelacak Pintar,Rp135.000
handphone-tablet,wearable-devices,PDU rack server 8 lubang,Rp210.000
handphone-tablet,wearable-devices,OTDR mini / OTDR JW 3302S / Smart OTDR,Rp4.650.000
handphone-tablet,wearable-devices,ODP 8 core lengkap box spliter 1:8 SC UPC polos,Rp165.000
handphone-tablet,wearable-devices,wire management / wiring management / bahan plat,Rp80.000
handphone-tablet,wearable-devices,Apple Watch Series 8 2022 41mm 45mm Silver Starlight Midnight Red,Rp6.020.000
handphone-tablet,wearable-devices,Huawei Band 7 Smartband SpO2 Garansi Resmi,Rp529.000
handphone-tablet,wearable-devices,[Promo Special] HUAWEI Band 7 Smartband | Ultra-Thin Design,Rp539.000
handphone-tablet,wearable-devices,Gamepad Silicone Case Airpods Pro 2 with Keychain - Apple 2022 Cover,Rp84.150
handphone-tablet,wearable-devices,Apple Watch Series 8 2022 41mm 45mm Silver Starlight Midnight Red Nike,Rp6.020.000
handphone-tablet,wearable-devices,SW20 Silikon Strap 20mm for Amazfit GTS 1 2 3 E Mini / BIP U S PRO dll,Rp25.000
handphone-tablet,wearable-devices,MIJOBS SPORTS DUAL TONE Strap XIAOMI MI BAND 6 5 Silicone Tali Silikon,Rp19.900
handphone-tablet,wearable-devices,IBOX Apple Watch SE 2 2022 40mm 44mm Silver Starlight Midnight Resmi,Rp4.160.000
handphone-tablet,wearable-devices,Samsung Galaxy Watch 5 40mm 44mm Garansi Resmi SEIN,Rp3.099.000
handphone-tablet,wearable-devices,iBox Apple Watch Series 7 2021 41mm 45mm Nike iWatch Not 6 SE 40 44,Rp5.340.000
handphone-tablet,wearable-devices,Xiaomi Mi Band 5 Smart 2020 new arrival Bracelet Color AMOLED,Rp366.500
handphone-tablet,wearable-devices,[Best Offer] HUAWEI Band 7 Smartband | Ultra-Thin Design,Rp539.000
handphone-tablet,wearable-devices,ORIGINAL Ringke Onyx Case Airpods Pro 2 2022 - Soft Casing 2nd,Rp199.000
handphone-tablet,wearable-devices,Amazfit GTS 4 Mini & GTS 2 Mini Smartwatch Garansi Resmi,Rp949.000
handphone-tablet,wearable-devices,Apple Watch SE 2 2022 - Garansi Resmi iBox Apple Indonesia,Rp4.549.000
handphone-tablet,wearable-devices,Apple Watch SE 2 2022 40mm 44mm Silver Starlight Midnight Nike+ 40 44,Rp4.120.000
handphone-tablet,wearable-devices,Amazfit T-Rex 2 & T-Rex Pro Smartwatch Garansi Resmi,Rp2.039.000
handphone-tablet,wearable-devices,Acome Headset Bluetooth 5.0 TWS LED Airdots T1 Garansi Resmi 1 Tahun,Rp149.900
handphone-tablet,wearable-devices,Apple Watch series 3 38mm second fullset gps iWatch s3 series3,Rp1.550.000
handphone-tablet,wearable-devices,Amazfit GTS 4 Mini Smartwatch 1.65’’ AMOLED GPS SpO2 120+ Sports Modes,Rp1.389.000
handphone-tablet,wearable-devices,Case Airpods Pro 2 Spigen Rugged Armor Shockproof Slim Carbon Casing,Rp255.002
handphone-tablet,wearable-devices,"Xiaomi Official Redmi Watch 2 Lite Layar 1.55"" Tahan Air 5 ATM",Rp799.000
handphone-tablet,wearable-devices,Case Apple Watch SE 2/6/5/4 44mm / 40mm Spigen Thin Fit Slim Hardcase,Rp135.002
handphone-tablet,wearable-devices,Amazfit Bip 3 & Bip 3 Pro Smartwatch Garansi Resmi,Rp579.000
handphone-tablet,wearable-devices,"XIAOMI OFFICIAL Xiaomi Smart Band 7 AMOLED 1,62'’ 110+ Mode Olahraga",Rp624.000
handphone-tablet,wearable-devices,Silicone Strap Tali Jam for Huawei Band 7 Silikon Rubber Wrist Band7,Rp29.000
handphone-tablet,wearable-devices,Tali Jam Strap Xiaomi Mi Band 6 / Mi Band 5 / Mi Band 4 / Mi Band 3,Rp4.300
handphone-tablet,wearable-devices,Redmi Watch 2 Lite AMOLED Display Multi Watch FaceSport Smartwatch,Rp720.000
handphone-tablet,wearable-devices,MIJOBS MiBand 6 CS Flat Hole Silicone Strap for Xiaomi Mi Band 6 5 4 3,Rp50.000
handphone-tablet,wearable-devices,Apple AirTag / Airtags Original Brand New 4 Pack Kit Air Tag tags,Rp650.008
handphone-tablet,wearable-devices,Smartwatch Aukey SW-1 Fitness Tracker 10 Activity With IP68 - 501643,Rp370.000
handphone-tablet,wearable-devices,GPS MAP GARMIN 65S TERBARU PENGGANTI GARMIN 64S GARANSI RESMI,Rp5.825.000
handphone-tablet,wearable-devices,Strap Case Apple Watch iwatch Premium Rugged Armor Protection Resist,Rp109.000
handphone-tablet,wearable-devices,Dropcore 4 core FIG8,Rp1.900.000
handphone-tablet,wearable-devices,STRAP XIAOMI MI BAND 3 / 4 / 5 / 6 ORIGINAL TALI SMARTWATCH SILICONE,Rp50.000
handphone-tablet,wearable-devices,SIKAI 2in1 Silikon Strap with Bumper Case Cover for Huawei Band 7 6,Rp69.000
handphone-tablet,wearable-devices,MIJOBS SPORTS DUAL TONE Strap for MI BAND 4 3 Silicone Tali Silikon,Rp17.500
handphone-tablet,wearable-devices,OPPO Band [Exercise Mode and Health Monitor],Rp399.000
handphone-tablet,wearable-devices,Imoo Watch Phone Z1 Ultra Long Stanby | Water Resist Garansi Resmi,Rp1.155.000
handphone-tablet,wearable-devices,Apple Watch Strap Loop All Series 38mm Apple Watch 44mm 40mm 42mm,Rp89.000
handphone-tablet,wearable-devices,Strap Apple Watch Ultra 8/7/SE 2 49/45/44/42mm 41/40mm Spigen Lite Fit,Rp189.002
handphone-tablet,wearable-devices,"XIAOMI OFFICIAL Xiaomi Smart Watch S1 Active Layar AMOLED 1.43""",Rp1.874.000
handphone-tablet,wearable-devices,Huawei Band 7 Original Garansi Resmi - Smartband Penerus Huawei Band 6,Rp479.000
handphone-tablet,wearable-devices,Strap Apple Watch 7 IWATCH Sport Band Rubber Tali Sillicone 41mm 45mm,Rp75.000
handphone-tablet,wearable-devices,Apple Watch Strap iWatch 38 42mm NIKE DESIGN BUMPER + STRAP ALL BLACK,Rp79.900
handphone-tablet,wearable-devices,Hard Case Bumper 2in1 w/ Tempered Glass for Amazfit BIP 3 / BIP3 PRO,Rp32.500
handphone-tablet,wearable-devices,R220 SPORT DUAL TONE Silikon Strap for Samsung Galaxy Fit2 (FIT 2),Rp27.500
handphone-tablet,wearable-devices,Armor 2in1 Rubber Strap w/ Bumper Case for Honor Band 6 /Huawei Band 7,Rp35.000
handphone-tablet,wearable-devices,Silicone Case Airpods Pro 2 2022 New Airpods Pro 2 2022,Rp95.000
handphone-tablet,wearable-devices,MIJOBS CS Flat Hole Silicone Strap for Samsung Galaxy Fit2 (FIT 2),Rp55.000
handphone-tablet,wearable-devices,Case Apple Watch 8/7/6/SE 2 45/44/41/40mm Spigen Rugged Armor Softcase,Rp135.002
handphone-tablet,wearable-devices,Xiaomi Mi Band 7 - Garansi Resmi Xiaomi Indonesia,Rp636.000
handphone-tablet,wearable-devices,Mi Smart Band 7 AMOLED 1.62Inch SpO2 5ATM,Rp599.000
handphone-tablet,wearable-devices,Case Apple Watch 8/7 45mm/41mm Spigen Thin Fit Slim Hardcase PC Casing,Rp145.002
handphone-tablet,wearable-devices,Strap Apple Watch Ultra 8/7/SE 2 49/45/44mm 41/40mm Spigen Modern Fit,Rp269.002
handphone-tablet,wearable-devices,Simple Silicone Strap for Xiao Mi Band 7 6 5 Tali Jam Rubber Silikon,Rp12.500
handphone-tablet,wearable-devices,Huawei Band 7 Smartband Segel Garansi Resmi Indonesia Amoled Ready,Rp498.700
handphone-tablet,wearable-devices,Case AirPods 3 Spigen Urban Fit Fabric Anti Gores Slim Hard Casing,Rp219.002
handphone-tablet,wearable-devices,Texture 2in1 Rubber Strap w Bumper Case u/ Huawei Band 7 /Honor Band 6,Rp35.000
handphone-tablet,wearable-devices,"Amazfit Bip 3 Pro Smartwatch 1.69""Large Color SpO2 GPS - Garansi Resmi",Rp579.000
handphone-tablet,wearable-devices,Apple Watch Series 8 2022 Aluminum Case 41mm Midnight Starlight Silver,Rp6.019.000
handphone-tablet,wearable-devices,HONOR Band 6 Smartwatch | Jam Pintar | Jam Tangan Pria Wanita,Rp399.000
handphone-tablet,wearable-devices,GPS Tracker Pelacak Mobil Concox GT06N,Rp375.000
